,year_month,accumulate_cecilia,accumulate_rioparaiba,accumulate_funil,accumulate_branca,accumulate_jaguari,accumulate_paraibuna,Paraiba_do_sul_total
166,201404,100.16,125.15,72.78,50.41,102.53,86.49,537.52
167,201405,42.31,22.18,33.8,38.16,47.97,39.03,223.45
168,201406,30.46,25.27,18.97,12.45,9.33,19.44,115.92
169,201407,54.94,38.73,31.5,17.89,40.22,50.18,233.46
170,201408,20.14,25.56,21.22,28.97,45.69,19.71,161.29
171,201409,32.03,13.55,40.41,47.44,49.07,50.79,233.29
172,201410,76.95,57.25,44.55,19.89,26.77,45.07,270.48
173,201411,179.97,206.48,128.45,109.28,140.34,133.05,897.5699999999999
174,201412,143.19,138.47,133.25,147.72,171.71,136.51,870.85
175,201501,151.73,71.0,118.75,104.67,135.34,129.89,711.38
176,201502,192.87,113.07,223.4,247.12,297.38,248.34,1322.18
177,201503,157.31,174.47,177.2,178.2,223.1,199.56,1109.84
178,201504,84.89,73.98,54.95,59.05,42.5,74.36,389.73
179,201505,41.18,66.13,43.48,38.5,46.62,49.77,285.68
180,201506,18.96,35.35,57.55,115.78,105.81,37.05,370.5
181,201507,12.6,21.38,26.59,29.44,35.36,27.22,152.58999999999997
182,201508,33.63,19.53,67.71,10.66,23.99,57.04,212.56
183,201509,102.19,90.38,109.09,97.79,121.98,101.86,623.29
184,201510,62.77,65.11,85.2,59.92,78.83,87.6,439.42999999999995
185,201511,170.61,156.16,173.85,153.36,163.67,172.4,990.05
186,201512,204.92,234.57,194.5,225.66,260.06,215.54,1335.25
187,201601,430.24,308.08,283.54,149.6,190.66,281.13,1643.25
188,201602,184.15,128.95,168.74,127.44,204.65,173.88,987.81
189,201603,229.38,126.17,193.29,181.82,224.87,159.72,1115.25
190,201604,12.76,26.88,10.86,4.72,18.26,9.71,83.19
191,201605,18.41,28.0,46.18,61.43,88.99,51.26,294.27
192,201606,106.08,59.89,151.75,136.58,187.82,160.04,802.1600000000001
193,201607,1.64,3.58,0.89,1.09,3.13,0.81,11.139999999999999
194,201608,18.02,20.77,29.12,32.08,42.72,35.24,177.95
195,201609,24.62,62.04,26.47,29.56,28.34,27.4,198.43
196,201610,77.58,78.69,106.99,136.4,145.68,125.06,670.3999999999999
197,201611,369.84,271.29,187.21,169.7,180.67,194.88,1373.5900000000001
198,201612,239.29,248.64,156.06,105.66,121.25,148.15,1019.05
199,201701,289.98,132.02,224.6,281.71,236.86,248.04,1413.21
200,201702,75.34,92.21,56.72,38.03,92.41,31.48,386.19000000000005
201,201703,174.54,109.18,201.35,234.93,125.91,242.67,1088.58
202,201704,70.9,73.16,63.62,112.73,65.3,95.68,481.39000000000004
203,201705,55.61,57.68,77.63,83.59,124.98,73.08,472.57
204,201706,30.14,26.93,41.39,95.14,61.56,52.92,308.08000000000004
205,201707,10.55,24.53,5.35,35.83,2.25,12.51,91.02
206,201708,48.45,16.72,45.37,54.17,49.55,66.64,280.9
207,201709,1.76,2.87,2.54,2.06,0.23,3.39,12.850000000000001
208,201710,54.94,64.51,84.43,96.72,97.79,74.4,472.7900000000001
209,201711,153.94,174.66,127.89,160.34,150.84,156.6,924.2700000000001
210,201712,161.05,157.53,123.53,136.5,135.4,150.82,864.8299999999999
211,201801,240.74,184.38,254.31,278.37,262.24,331.07,1551.11
212,201802,193.52,167.92,122.88,149.86,90.13,245.06,969.3700000000001
213,201803,221.16,216.45,195.09,188.15,164.66,231.23,1216.74
214,201804,105.08,83.31,44.04,53.77,27.11,92.1,405.40999999999997
215,201805,26.45,31.28,22.57,25.95,12.79,40.41,159.45000000000002
216,201806,37.51,16.34,24.25,69.2,24.57,63.83,235.7
217,201807,15.02,26.65,6.49,26.13,1.45,18.09,93.83000000000001
218,201808,67.51,70.02,71.84,68.48,68.24,103.71,449.8
219,201809,59.15,82.43,60.18,56.22,67.4,86.31,411.69
220,201810,96.67,90.92,153.32,179.53,143.36,225.57,889.3699999999999
221,201811,219.8,191.42,162.25,194.12,108.58,260.62,1136.79
222,201812,126.53,184.34,186.27,180.92,159.62,215.56,1053.24
223,201901,170.71,78.57,181.43,251.49,247.58,224.24,1154.02
224,201902,186.86,166.71,211.95,290.69,248.59,230.55,1335.35
225,201903,204.73,146.7,187.99,272.77,209.55,220.0,1241.74
226,201904,134.34,74.13,84.38,96.2,110.95,84.11,584.11
227,201905,100.14,63.89,65.72,142.32,42.63,129.72,544.42
228,201906,21.17,17.11,21.1,54.48,28.51,30.15,172.52
229,201907,11.69,5.37,53.57,72.62,90.09,65.98,299.32
230,201908,45.48,27.3,28.76,55.26,15.53,59.15,231.48000000000002
231,201909,87.92,62.87,60.46,74.96,65.78,63.91,415.9
232,201910,153.35,78.23,64.5,41.45,50.73,55.71,443.96999999999997
233,201911,165.17,218.53,110.55,113.37,143.87,115.5,866.99
234,201912,180.67,265.15,147.51,101.25,190.16,96.29,981.0299999999999
235,202001,222.23,289.5,163.77,161.94,235.61,135.96,1209.0100000000002
236,202002,335.45,280.35,284.15,178.07,378.58,238.01,1694.61
237,202003,219.15,201.18,89.7,40.14,57.74,94.96,702.8700000000001
238,202004,19.01,64.82,14.84,5.61,4.67,12.21,121.16
239,202005,42.22,56.65,25.76,46.23,28.8,23.46,223.12000000000003
240,202006,15.79,9.69,43.85,46.73,72.58,30.36,219.0
241,202007,7.63,7.11,6.2,3.38,8.64,3.22,36.18
242,202008,27.73,33.24,37.01,45.22,53.51,33.92,230.63
243,202009,72.25,47.35,37.41,18.44,22.03,38.88,236.35999999999999
244,202010,65.33,88.04,64.89,49.92,89.54,71.01,428.73
245,202011,163.85,215.7,121.98,95.62,145.69,110.14,852.9799999999999
246,202012,458.81,272.45,386.38,286.42,343.46,305.97,2053.49
