Date,Maximum Demand (in MW)
11/14/16,37454.703
11/15/16,37919.422
11/16/16,41628.96
11/17/16,42255.582
11/18/16,39756.52
11/19/16,36483.789
11/20/16,34823.031
11/21/16,39812.938
11/22/16,41304.594
11/23/16,40867.516
11/24/16,42059.418
11/25/16,43007.141
11/26/16,38677.563
11/27/16,37323.023
11/28/16,45393.18
11/29/16,45141.09
11/30/16,40913.109
12/1/16,39648.977
12/2/16,41255.125
12/3/16,39113.418
12/4/16,36394.988
12/5/16,41014.27
12/6/16,43082.035
12/7/16,44115.281
12/8/16,44028.559
12/9/16,44595.41
12/10/16,39779.859
12/11/16,38131.207
12/12/16,43758.543
12/13/16,44484.93
12/14/16,42905.36
12/15/16,39199.172
12/16/16,38820.004
12/17/16,37868.465
12/18/16,36352.035
12/19/16,41586.62
12/20/16,41983.254
12/21/16,42251.703
12/22/16,42123.578
12/23/16,41846.027
12/24/16,40364.82
12/25/16,36745.078
12/26/16,42351.234
12/27/16,44188.359
12/28/16,43747.215
12/29/16,43035.875
12/30/16,40590.527
12/31/16,40998.23
1/1/17,38837.91
1/2/17,43216.434
1/3/17,45999.305
1/4/17,45294.164
1/5/17,46665.961
1/6/17,47136.371
1/7/17,43290.41
1/8/17,41685.09
1/9/17,48462.211
1/10/17,48324.195
1/11/17,48802.027
1/12/17,46232.969
1/13/17,44440.18
1/14/17,41962.516
1/15/17,39742.84
1/16/17,45811.379
1/17/17,44410.88
1/18/17,45248.648
1/19/17,44987.438
1/20/17,42530.266
1/21/17,40853.68
1/22/17,38491.953
1/23/17,44406.785
1/24/17,46908.867
1/25/17,45355.668
1/26/17,45820.45
1/27/17,45645.152
1/28/17,42287.887
1/29/17,40499.328
1/30/17,47627.977
1/31/17,46769.926
2/1/17,46470.914
2/2/17,46291.055
2/3/17,45957.691
2/4/17,42011.281
2/5/17,40380.391
2/6/17,46946.984
2/7/17,47058.07
2/8/17,46946.3
2/9/17,46339.215
2/10/17,46782.48
2/11/17,43034.168
2/12/17,40633.523
2/13/17,47691.75
2/14/17,48293.45
2/15/17,49002.988
2/16/17,49186.117
2/17/17,49317.7
2/18/17,44438.211
2/19/17,42561.348
2/20/17,50550.742
2/21/17,50150.672
2/22/17,49742.801
2/23/17,50658.36
2/24/17,48811.754
2/25/17,42268.945
2/26/17,38832.613
2/27/17,41219.961
2/28/17,42071.652
3/1/17,45513.23
3/2/17,47585.34
3/3/17,47586.27
3/4/17,44648.48
3/5/17,41874.48
3/6/17,47604.61
3/7/17,48255.83
3/8/17,48170.27
3/9/17,48883.62
3/10/17,49893.582
3/11/17,45033.16
3/12/17,42667.34
3/13/17,48499.328
3/14/17,47837.113
3/15/17,47596.64
3/16/17,48661.992
3/17/17,48768.85
3/18/17,42266.266
3/19/17,37995.29
3/20/17,42544.98
3/21/17,43873.91
3/22/17,44308.31
3/23/17,44890.09
3/24/17,46008.77
3/25/17,43926.563
3/26/17,40808.24
3/27/17,44406.82
3/28/17,43734.02
3/29/17,43716.34
3/30/17,43656.54
3/31/17,42650.08
4/1/17,41501.23
4/2/17,38611.48
4/3/17,43382.84
4/4/17,44271.098
4/5/17,45923.31
4/6/17,45394.48
4/7/17,44883.53
4/8/17,43430.13
4/9/17,40292.79
4/10/17,45333.92
4/11/17,46234.86
4/12/17,44298.63
4/13/17,42329
4/14/17,38120.53
4/15/17,41230.97
4/16/17,39254.95
4/17/17,43026.65
4/18/17,43201.86
4/19/17,42714.359
4/20/17,43057.55
4/21/17,41399.65
4/22/17,41049.5
4/23/17,37890.66
4/24/17,42055.45
4/25/17,43575.492
4/26/17,43739.633
4/27/17,43351.449
4/28/17,41484.84
4/29/17,39803.84
4/30/17,36315.664
5/1/17,37011.5
5/2/17,41767.285
5/3/17,42325.54
5/4/17,42737.434
5/5/17,41868.922
5/6/17,41798.867
5/7/17,38475.547
5/8/17,41714.172
5/9/17,41915.191
5/10/17,42502.93
5/11/17,41605.81
5/12/17,41632.02
5/13/17,41455.77
5/14/17,37529.24
5/15/17,42160.035
5/16/17,42902.68
5/17/17,42307.836
5/18/17,42709.69
5/19/17,42533.93
5/20/17,41499.56
5/21/17,38700.51
5/22/17,42592.03
5/23/17,42970.52
5/24/17,42596.85
5/25/17,42283.95
5/26/17,42326.82
5/27/17,41447.27
5/28/17,37738.73
5/29/17,41812.27
5/30/17,41513.457
5/31/17,41851.97
6/1/17,41745.89
6/2/17,41366.99
6/3/17,41073.91
6/4/17,38782.86
6/5/17,42207.36
6/6/17,42856.88
6/7/17,43723.3
6/8/17,43947.13
6/9/17,42256.41
6/10/17,40809.15
6/11/17,38328.36
6/12/17,41880.43
6/13/17,42642.04
6/14/17,42567.813
6/15/17,40234.52
6/16/17,41247.36
6/17/17,40619.99
6/18/17,38323.516
6/19/17,41687.953
6/20/17,41507.898
6/21/17,41421.234
6/22/17,42063.273
6/23/17,41662.133
6/24/17,41002.86
6/25/17,38126.152
6/26/17,41405.738
6/27/17,41746.297
6/28/17,42405.648
6/29/17,42352.625
6/30/17,41720.281
7/1/17,40555.539
7/2/17,36915.09
7/3/17,40304.332
7/4/17,40884.67
7/5/17,41416.98
7/6/17,41591.957
7/7/17,41132.461
7/8/17,40350
7/9/17,37224.29
7/10/17,40902.816
7/11/17,41411.07
7/12/17,41693.52
7/13/17,41997.992
7/14/17,41682.76
7/15/17,40522.86
7/16/17,37797.59
7/17/17,41186.828
7/18/17,40343.258
7/19/17,41061.727
7/20/17,41153.465
7/21/17,41128.504
7/22/17,40065.016
7/23/17,37559.395
7/24/17,41465.434
7/25/17,42182.07
7/26/17,42205.426
7/27/17,42305.31
7/28/17,41731.727
7/29/17,40475.742
7/30/17,37627.125
7/31/17,40855.391
8/1/17,41021.863
8/2/17,41679.81
8/3/17,41688.535
8/4/17,40739.277
8/5/17,40074.664
8/6/17,37368.695
8/7/17,40895.82
8/8/17,42013.83
8/9/17,42599.789
8/10/17,41361.77
8/11/17,41284.32
8/12/17,40562.48
8/13/17,37145.13
8/14/17,41530.41
8/15/17,41364.11
8/16/17,41760.91
8/17/17,42092.99
8/18/17,41820.66
8/19/17,41212.88
8/20/17,37497.793
8/21/17,40782.58
8/22/17,41152.39
8/23/17,41320.47
8/24/17,41285.76
8/25/17,41081.453
8/26/17,40410.031
8/27/17,37680.699
8/28/17,41354.55
8/29/17,42121.129
8/30/17,42972.203
8/31/17,41699.715
9/1/17,41272.105
9/2/17,41004.906
9/3/17,37663.156
9/4/17,41284.11
9/5/17,42661.285
9/6/17,42219.422
9/7/17,39708.824
9/8/17,40813.402
9/9/17,40358.375
9/10/17,38437.309
9/11/17,42979.06
9/12/17,43846.56
9/13/17,43632.13
9/14/17,44846.97
9/15/17,44988.11
9/16/17,42045.9
9/17/17,39042.95
9/18/17,43676.64
9/19/17,43741.87
9/20/17,44181.73
9/21/17,43892.79
9/22/17,43422.105
9/23/17,42361.64
9/24/17,38807.98
9/25/17,42630.91
9/26/17,43178.75
9/27/17,44298.5
9/28/17,43616.398
9/29/17,42623.11
9/30/17,40433.16
10/1/17,39027.434
10/2/17,42134.81
10/3/17,42245.67
10/4/17,41867.18
10/5/17,42891.6
10/6/17,45247.58
10/7/17,41418.99
10/8/17,38701.887
10/9/17,45131.262
10/10/17,46992.92
10/11/17,47528.09
10/12/17,41455.14
10/13/17,43647.6
10/14/17,41748.87
10/15/17,37364.27
10/16/17,42600.25
10/17/17,44069.51
10/18/17,45247.9
10/19/17,46878.47
10/20/17,45846.37
10/21/17,41196.78
10/22/17,37720.27
10/23/17,41258.11
10/24/17,41418.289
10/25/17,44157.313
10/26/17,44039.88
10/27/17,44167.06
10/28/17,41956.32
10/29/17,38318.9
10/30/17,42546.707
10/31/17,42695.54
11/1/17,40769.36
11/2/17,38511.5
11/3/17,41100.84
11/4/17,40645.95
