date,energy_charge
30-Aug-16,890.714598
31-Aug-16,872.196381
1-Sep-16,866.937433
2-Sep-16,863.582413
3-Sep-16,787.157387
4-Sep-16,695.639035
5-Sep-16,835.132271
6-Sep-16,865.504391
7-Sep-16,775.458287
8-Sep-16,847.013749
9-Sep-16,850.504588
10-Sep-16,788.552293
11-Sep-16,719.246092
12-Sep-16,878.607408
13-Sep-16,914.637356
14-Sep-16,920.548765
15-Sep-16,894.652678
16-Sep-16,875.217108
17-Sep-16,814.682044
18-Sep-16,745.300554
19-Sep-16,881.509575
20-Sep-16,876.935291
21-Sep-16,850.786883
22-Sep-16,861.4251
23-Sep-16,873.348358
24-Sep-16,791.539952
25-Sep-16,692.199183
26-Sep-16,820.692741
27-Sep-16,847.068017
28-Sep-16,862.594689
29-Sep-16,876.53906
30-Sep-16,867.486968
1-Oct-16,779.374636
2-Oct-16,682.701803
3-Oct-16,823.147538
4-Oct-16,834.28083
5-Oct-16,833.035737
6-Oct-16,819.935852
7-Oct-16,819.419268
8-Oct-16,764.890027
9-Oct-16,697.418829
10-Oct-16,831.288655
11-Oct-16,860.901185
12-Oct-16,761.010918
13-Oct-16,884.946766
14-Oct-16,899.55187
15-Oct-16,831.991098
16-Oct-16,755.1158337
17-Oct-16,931.38007
18-Oct-16,974.09865
19-Oct-16,990.335174
20-Oct-16,981.828994
21-Oct-16,941.926316
22-Oct-16,820.566324
23-Oct-16,733.199721
24-Oct-16,900.852657
25-Oct-16,924.07802
26-Oct-16,937.908349
27-Oct-16,939.601882
28-Oct-16,889.276144
29-Oct-16,777.017693
30-Oct-16,682.827481
31-Oct-16,847.418173
1-Nov-16,883.49476
2-Nov-16,798.045155
3-Nov-16,898.406334
4-Nov-16,875.496541
5-Nov-16,781.175069
6-Nov-16,704.031487
7-Nov-16,860.35528
8-Nov-16,891.67914
9-Nov-16,904.975823
10-Nov-16,925.616173
11-Nov-16,938.226977
12-Nov-16,811.55946
13-Nov-16,690.996354
14-Nov-16,775.118038
15-Nov-16,735.603276
16-Nov-16,860.497607
17-Nov-16,873.179885
18-Nov-16,841.237441
19-Nov-16,724.053173
20-Nov-16,653.569821
21-Nov-16,814.385068
22-Nov-16,861.252233
23-Nov-16,864.689329
24-Nov-16,877.533406
25-Nov-16,884.2527
26-Nov-16,806.210192
27-Nov-16,742.436443
28-Nov-16,919.129234
29-Nov-16,941.550461
