Date,Stored_energy
8/11/2016,73171.263
8/12/2016,72927.276
8/13/2016,72734.424
8/14/2016,72578.8275
8/15/2016,72065.286
8/16/2016,71616.759
8/17/2016,71166.771
8/18/2016,70783.2585
8/19/2016,70437.732
8/20/2016,70293.093
8/21/2016,70231.731
8/22/2016,70000.1625
8/23/2016,69869.403
8/24/2016,69704.31
8/25/2016,69491.7345
8/26/2016,69268.932
8/27/2016,69239.712
8/28/2016,69236.0595
8/29/2016,68854.008
8/30/2016,68564.73
8/31/2016,68241.849
9/1/2016,68000.0535
9/2/2016,67775.79
9/3/2016,67711.506
9/4/2016,67678.6335
9/5/2016,67419.306
9/6/2016,67162.9005
9/7/2016,66908.6865
9/8/2016,66717.2955
9/9/2016,66520.791
9/10/2016,66416.3295
9/11/2016,66295.797
9/12/2016,65880.1425
9/13/2016,65517.084
9/14/2016,65160.6
9/15/2016,64769.052
9/16/2016,64403.0715
9/17/2016,64197.801
9/18/2016,63969.885
9/19/2016,63486.294
9/20/2016,63118.122
9/21/2016,62791.5885
9/22/2016,62458.4805
9/23/2016,62039.904
9/24/2016,61768.158
9/25/2016,61660.7745
9/26/2016,61253.886
9/27/2016,60848.4585
9/28/2016,60456.9105
9/29/2016,60066.8235
9/30/2016,59648.247
10/1/2016,59384.5365
10/2/2016,59223.8265
10/3/2016,58815.477
10/4/2016,58388.865
10/5/2016,58049.1825
10/6/2016,57821.997
10/7/2016,57513.726
10/8/2016,57358.1295
10/9/2016,57214.9515
10/10/2016,56842.3965
10/11/2016,56404.827
10/12/2016,56176.911
10/13/2016,55703.547
10/14/2016,55368.2475
10/15/2016,55249.176
10/16/2016,55149.0975
10/17/2016,54748.7835
10/18/2016,54320.7105
10/19/2016,53916.0135
10/20/2016,53482.0965
10/21/2016,53211.8115
10/22/2016,53195.7405
10/23/2016,53165.0595
10/24/2016,52790.313
10/25/2016,52495.9215
10/26/2016,52235.8635
10/27/2016,52006.4865
10/28/2016,51865.5
10/29/2016,51960.465
10/30/2016,51981.6495
10/31/2016,51738.393
11/1/2016,51477.6045
11/2/2016,51337.3485
11/3/2016,51040.035
11/4/2016,50872.02
11/5/2016,50879.325
11/6/2016,50813.58
11/7/2016,50434.4505
11/8/2016,50218.2225
11/9/2016,50023.179
11/10/2016,49753.6245
11/11/2016,49514.0205
11/12/2016,49443.162
11/13/2016,49618.482
11/14/2016,49710.525
11/15/2016,49984.4625
11/16/2016,50169.279
11/17/2016,50361.4005
11/18/2016,50457.8265
11/19/2016,50694.5085
11/20/2016,50888.8215
11/21/2016,50747.835
11/22/2016,50611.962
11/23/2016,50424.2235
11/24/2016,50300.769
11/25/2016,50256.939
11/26/2016,50248.9035
11/27/2016,50226.9885
11/28/2016,49946.4765
11/29/2016,49729.518
11/30/2016,49714.1775
12/1/2016,49663.773
12/2/2016,49522.056
12/3/2016,49435.1265
12/4/2016,49423.4385
12/5/2016,49262.7285
12/6/2016,49134.1605
12/7/2016,49010.706
12/8/2016,48894.5565
12/9/2016,48768.9105
12/10/2016,48761.6055
12/11/2016,48843.4215
12/12/2016,48776.2155
12/13/2016,48793.7475
12/14/2016,48993.9045
12/15/2016,49321.899
12/16/2016,49619.2125
12/17/2016,50007.8385
12/18/2016,50302.23
12/19/2016,50506.0395
12/20/2016,50609.7705
12/21/2016,50650.6785
12/22/2016,50648.487
12/23/2016,50687.2035
12/24/2016,50729.5725
12/25/2016,50864.715
12/26/2016,50758.7925
12/27/2016,50601.0045
12/28/2016,50332.911
12/29/2016,50198.499
12/30/2016,50140.7895
12/31/2016,50121.066
1/1/2017,50071.392
1/2/2017,49823.022
1/3/2017,49489.1835
