"","date","waterlevel"
"229",2016-08-29,450.04
"230",2016-08-31,449.97
"231",2016-09-01,449.94
"232",2016-09-05,449.82
"233",2016-09-06,449.78
"234",2016-09-07,449.74
"235",2016-09-08,449.73
"236",2016-09-09,449.7
"237",2016-09-10,449.66
"238",2016-09-11,449.67
"239",2016-09-12,449.63
"240",2016-09-13,449.58
"241",2016-09-14,449.51
"242",2016-09-15,449.43
"243",2016-09-16,449.36
"244",2016-09-17,449.31
"245",2016-09-18,449.28
"246",2016-09-20,449.15
"247",2016-09-21,449.13
"248",2016-09-22,449.1
"249",2016-09-23,449.06
"250",2016-09-24,449.01
"251",2016-09-25,449.01
"252",2016-09-26,448.97
"253",2016-09-27,448.88
"254",2016-09-29,448.7
"255",2016-09-30,448.61
"256",2016-10-01,448.56
"257",2016-10-02,448.54
"258",2016-10-03,448.49
"259",2016-10-04,448.43
"260",2016-10-05,448.4
"261",2016-10-06,448.4
"262",2016-10-07,448.39
"263",2016-10-08,448.35
"264",2016-10-09,448.34
"265",2016-10-10,448.3
"266",2016-10-11,448.25
"267",2016-10-12,448.23
"268",2016-10-13,448.19
"269",2016-10-14,448.16
"270",2016-10-15,448.17
"271",2016-10-16,448.26
"272",2016-10-17,448.29
"273",2016-10-18,448.28
"274",2016-10-19,448.23
"275",2016-10-20,448.2
"276",2016-10-21,448.15
"277",2016-10-22,448.17
"278",2016-10-23,448.21
"279",2016-10-24,448.2
"280",2016-10-25,448.21
"281",2016-10-26,448.24
"282",2016-10-27,448.32
"283",2016-10-28,448.37
"284",2016-10-29,448.43
"285",2016-10-30,448.47
"286",2016-10-31,448.44
"287",2016-11-01,448.39
"288",2016-11-02,448.37
"289",2016-11-03,448.32
"290",2016-11-04,448.26
"291",2016-11-05,448.3
"292",2016-11-06,448.32
"293",2016-11-07,448.28
"294",2016-11-08,448.26
"295",2016-11-09,448.22
"296",2016-11-10,448.13
"297",2016-11-11,448.1
"298",2016-11-12,448.1
"299",2016-11-13,448.1
"300",2016-11-14,448.11
"301",2016-11-15,448.14
"302",2016-11-16,448.19
"303",2016-11-17,448.19
"304",2016-11-18,448.16
"305",2016-11-19,448.19
"306",2016-11-20,448.2
"307",2016-11-21,448.15
"308",2016-11-22,448.08
"309",2016-11-23,448
"310",2016-11-24,447.92
"311",2016-11-25,447.84
"312",2016-11-26,447.77
"313",2016-11-27,447.74
"314",2016-11-28,447.66
"315",2016-11-29,447.58
"316",2016-11-30,447.52
"317",2016-12-01,447.56
"318",2016-12-02,447.51
"319",2016-12-03,447.49
"320",2016-12-04,447.49
"321",2016-12-05,447.44
"322",2016-12-06,447.41
"323",2016-12-07,447.42
"324",2016-12-08,447.41
"325",2016-12-09,447.38
"326",2016-12-10,447.38
"327",2016-12-11,447.38
"328",2016-12-12,447.38
"329",2016-12-13,447.4
"330",2016-12-14,447.47
"331",2016-12-15,447.48
"332",2016-12-16,447.47
"333",2016-12-17,447.45
"334",2016-12-18,447.46
"335",2016-12-19,447.42
"336",2016-12-20,447.44
"337",2016-12-21,447.47
"338",2016-12-22,447.47
"339",2016-12-23,447.48
"340",2016-12-24,447.47
"341",2016-12-25,447.51
"342",2016-12-26,447.52
"343",2016-12-28,447.42
"344",2016-12-29,447.34
"345",2016-12-30,447.28
"346",2016-12-31,447.25
"347",2017-01-04,447.08
"348",2017-01-05,447.07
"349",2017-01-09,446.96
"350",2017-01-10,447
"351",2017-01-11,447.1
"352",2017-01-12,447.24
"353",2017-01-13,447.34
"354",2017-01-14,447.43
"355",2017-01-15,447.58
"356",2017-01-16,447.66
"357",2017-01-17,447.77
"358",2017-01-18,448.03
"359",2017-01-19,448.45
"360",2017-01-20,448.86
"361",2017-01-21,449.17
"362",2017-01-22,449.43
"363",2017-01-23,449.73
"364",2017-01-24,450
"365",2017-01-25,449.98
"366",2017-01-26,449.94
"367",2017-01-27,449.89
"368",2017-01-28,449.86
"369",2017-01-29,449.81
"370",2017-01-30,449.78
"371",2017-01-31,449.82
"372",2017-02-01,450.18
"373",2017-02-02,450.36
"374",2017-02-03,450.43
"375",2017-02-04,450.45
"376",2017-02-05,450.46
"377",2017-02-06,450.49
"378",2017-02-07,450.54
"379",2017-02-08,450.6
"380",2017-02-09,450.68
"381",2017-02-10,450.7
"382",2017-02-11,450.71
"383",2017-02-12,450.71
"384",2017-02-13,450.72
"385",2017-02-14,450.73
"386",2017-02-15,450.72
"387",2017-02-16,450.71
"388",2017-02-17,450.68
"389",2017-02-18,450.66
"390",2017-02-19,450.68
"391",2017-02-20,450.65
"392",2017-02-21,450.64
"393",2017-02-22,450.63
"394",2017-02-23,450.62
"395",2017-02-24,450.61
"396",2017-02-25,450.62
"397",2017-03-01,450.88
"398",2017-03-02,450.9
"399",2017-03-03,450.94
"400",2017-03-04,451.01
"401",2017-03-05,451.17
"402",2017-03-06,451.24
"403",2017-03-07,451.26
"404",2017-03-08,451.28
"405",2017-03-09,451.27
"406",2017-03-10,451.29
"407",2017-03-11,451.23
"408",2017-03-12,451.18
"409",2017-03-13,451.14
"410",2017-03-14,451.13
"411",2017-03-15,451.16
"412",2017-03-16,451.16
"413",2017-03-17,451.19
"414",2017-03-18,451.21
"415",2017-03-19,451.25
"416",2017-03-20,451.26
"417",2017-03-21,451.24
"418",2017-03-22,451.21
"419",2017-03-23,451.18
"420",2017-03-24,451.14
"421",2017-03-25,451.12
"422",2017-03-26,451.15
"423",2017-03-27,451.12
"424",2017-03-28,451.08
"425",2017-03-29,451.04
"426",2017-03-30,451.02
"427",2017-04-03,450.91
"428",2017-04-04,450.87
"429",2017-04-05,450.84
"430",2017-04-06,450.83
"431",2017-04-07,450.83
"432",2017-04-08,450.94
"433",2017-04-09,451.18
"434",2017-04-10,451.18
"435",2017-04-11,451.17
"436",2017-04-12,451.16
"437",2017-04-13,451.14
"438",2017-04-17,451.14
"439",2017-04-18,451.1
"440",2017-04-19,451.06
"441",2017-04-20,451.03
"442",2017-04-21,451.07
"443",2017-04-22,451.08
"444",2017-04-23,451.15
"445",2017-04-24,451.19
"446",2017-04-25,451.19
"447",2017-04-26,451.19
"448",2017-04-27,451.22
"449",2017-04-28,451.28
"450",2017-04-29,451.29
"451",2017-04-30,451.33
"452",2017-05-01,451.34
"453",2017-05-02,451.3
"454",2017-05-03,451.28
"455",2017-05-04,451.25
"456",2017-05-05,451.24
"457",2017-05-06,451.31
"458",2017-05-07,451.45
"459",2017-05-08,451.44
"460",2017-05-09,451.41
"461",2017-05-10,451.38
"462",2017-05-11,451.36
"463",2017-05-13,451.29
"464",2017-05-14,451.3
"465",2017-05-15,451.27
"466",2017-05-16,451.23
"467",2017-05-17,451.2
"468",2017-05-18,451.18
"469",2017-05-19,451.29
"470",2017-05-20,451.41
"471",2017-05-21,451.42
"472",2017-05-22,451.3
"473",2017-05-23,451.22
"474",2017-05-24,451.23
"475",2017-05-25,451.26
"476",2017-05-29,451.23
"477",2017-05-31,451.26
"478",2017-06-01,451.27
"479",2017-06-02,451.27
"480",2017-06-03,451.28
"481",2017-06-04,451.32
"482",2017-06-05,451.33
"483",2017-06-06,451.3
"484",2017-06-07,451.26
"485",2017-06-08,451.29
"486",2017-06-11,451.22
"487",2017-06-13,451.34
"488",2017-06-18,451.3
"489",2017-06-19,451.33
"490",2017-06-20,451.34
"491",2017-06-21,451.35
"492",2017-06-22,451.35
"493",2017-06-25,451.38
"494",2017-06-26,451.4
"495",2017-06-27,451.41
"496",2017-06-28,451.41
"497",2017-06-29,451.41
"498",2017-07-02,451.45
"499",2017-07-03,451.45
"500",2017-07-04,451.42
"501",2017-07-05,451.41
"502",2017-07-06,451.39
"503",2017-07-09,451.36
"504",2017-07-10,451.32
"505",2017-07-11,451.3
"506",2017-07-12,451.26
"507",2017-07-13,451.23
"508",2017-07-14,451.19
"509",2017-07-15,451.19
"510",2017-07-16,451.2
"511",2017-07-17,451.15
"512",2017-07-18,451.1
"513",2017-07-19,451.06
"514",2017-07-20,451.01
"515",2017-07-24,450.77
"516",2017-07-25,450.68
"517",2017-07-26,450.59
"518",2017-07-27,450.53
"519",2017-07-28,450.45
"520",2017-07-29,450.43
"521",2017-07-30,450.44
"522",2017-07-31,450.38
"523",2017-08-01,450.31
"524",2017-08-02,450.27
"525",2017-08-03,450.23
"526",2017-08-09,449.96
"527",2017-08-10,449.91
"528",2017-08-14,449.77
"529",2017-08-16,449.66
"530",2017-08-20,449.61
"531",2017-08-21,449.63
"532",2017-08-22,449.68
"533",2017-08-23,449.72
"534",2017-08-29,449.47
"535",2017-08-30,449.39
"536",2017-09-03,449.31
"537",2017-09-04,449.24
"538",2017-09-05,449.16
"539",2017-09-11,448.74
"540",2017-09-12,448.65
"541",2017-09-13,448.56
"542",2017-09-14,448.48
"543",2017-09-15,448.38
"544",2017-09-18,448.16
"545",2017-09-27,447.3
"546",2017-10-02,446.94
"547",2017-10-03,446.96
"548",2017-10-04,446.95
"549",2017-10-05,446.92
"550",2017-10-06,446.9
"551",2017-10-08,446.91
"552",2017-10-09,446.93
"553",2017-10-10,446.93
"554",2017-10-18,446.71
"555",2017-10-19,446.65
"556",2017-10-20,446.59
"557",2017-10-22,446.58
"558",2017-10-23,446.55
"559",2017-10-24,446.57
"560",2017-10-25,446.6
"561",2017-10-26,446.64
"562",2017-10-30,446.99
"563",2017-10-31,446.96
"564",2017-11-01,446.9
"565",2017-11-02,446.94
"566",2017-11-07,447.04
"567",2017-11-08,447.03
"568",2017-11-09,446.97
"569",2017-11-11,446.81
"570",2017-11-12,446.86
"571",2017-11-13,446.9
"572",2017-11-15,446.9
"573",2017-11-19,446.81
"574",2017-11-22,447.03
"575",2017-11-23,447.07
"576",2017-11-27,447.23
"577",2017-11-28,447.18
"578",2017-11-29,447.2
"579",2017-11-30,447.16
"580",2017-12-04,446.97
"581",2017-12-06,446.75
"582",2017-12-07,446.69
"583",2017-12-08,446.67
"584",2017-12-09,446.69
"585",2017-12-10,446.8
"586",2017-12-11,446.81
"587",2017-12-12,446.78
"588",2017-12-13,446.75
"589",2017-12-14,446.72
"590",2017-12-15,446.66
"591",2017-12-16,446.61
"592",2017-12-17,446.61
"593",2017-12-18,446.58
"594",2017-12-19,446.55
"595",2017-12-20,446.62
"596",2017-12-21,446.66
"597",2017-12-22,446.69
"598",2017-12-23,446.83
"599",2017-12-24,446.91
"600",2017-12-25,447
"601",2017-12-26,447.05
"602",2017-12-27,447.08
"603",2017-12-28,447.18
"604",2017-12-30,447.32
"605",2017-12-31,447.56
"606",2018-01-03,448.11
"607",2018-01-08,448.34
"608",2018-01-09,448.4
"609",2018-01-10,448.46
"610",2018-01-11,448.49
"611",2018-01-12,448.51
"612",2018-01-13,448.59
"613",2018-01-14,448.72
"614",2018-01-15,448.76
"615",2018-01-16,448.77
"616",2018-01-17,448.78
"617",2018-01-18,448.78
"618",2018-01-19,448.76
"619",2018-01-21,448.82
"620",2018-01-22,448.9
"621",2018-01-23,448.97
"622",2018-01-24,449.02
"623",2018-01-25,449.09
"624",2018-01-26,449.14
"625",2018-01-27,449.19
"626",2018-01-28,449.27
"627",2018-01-29,449.27
"628",2018-01-30,449.27
"629",2018-01-31,449.34
"630",2018-02-01,449.49
"631",2018-02-02,449.56
"632",2018-02-03,449.54
"633",2018-02-04,449.59
"634",2018-02-05,449.56
"635",2018-02-06,449.51
"636",2018-02-07,449.49
"637",2018-02-08,449.46
"638",2018-02-09,449.43
"639",2018-02-10,449.41
"640",2018-02-11,449.43
"641",2018-02-12,449.46
"642",2018-02-13,449.49
"643",2018-02-14,449.49
"644",2018-02-15,449.49
"645",2018-02-16,449.49
"646",2018-02-17,449.49
"647",2018-02-18,449.5
"648",2018-02-19,449.49
"649",2018-02-20,449.51
"650",2018-02-21,449.51
"651",2018-02-22,449.51
"652",2018-02-23,449.52
"653",2018-02-24,449.52
"654",2018-02-25,449.58
"655",2018-02-26,449.56
"656",2018-02-27,449.58
"657",2018-02-28,449.69
"658",2018-03-01,449.76
"659",2018-03-02,449.77
"660",2018-03-03,449.83
"661",2018-03-04,449.88
"662",2018-03-05,449.92
"663",2018-03-06,449.96
"664",2018-03-07,450.02
"665",2018-03-08,450.09
"666",2018-03-09,450.18
"667",2018-03-10,450.27
"668",2018-03-11,450.34
"669",2018-03-12,450.34
"670",2018-03-13,450.34
"671",2018-03-14,450.36
"672",2018-03-19,450.59
"673",2018-03-20,450.57
"674",2018-03-21,450.57
"675",2018-03-22,450.63
"676",2018-03-27,450.86
"677",2018-04-04,451.11
"678",2018-04-06,451.07
"679",2018-04-07,451.06
"680",2018-04-08,451.1
"681",2018-04-09,451.06
"682",2018-04-10,451.01
"683",2018-04-11,450.97
"684",2018-04-18,450.88
"685",2018-04-25,450.69
"686",2018-05-02,450.58
"687",2018-05-03,450.54
"688",2018-05-07,450.49
"689",2018-05-08,450.46
"690",2018-05-09,450.43
"691",2018-05-10,450.41
"692",2018-05-11,450.39
"693",2018-05-13,450.38
"694",2018-05-14,450.35
"695",2018-05-15,450.32
"696",2018-05-16,450.29
"697",2018-05-17,450.27
"698",2018-05-19,450.22
"699",2018-05-20,450.24
"700",2018-05-21,450.28
"701",2018-05-22,450.29
"702",2018-05-23,450.29
"703",2018-05-24,450.29
"704",2018-05-25,450.27
"705",2018-05-26,450.26
"706",2018-05-27,450.27
"707",2018-05-28,450.25
"708",2018-05-29,450.24
"709",2018-05-30,450.22
"710",2018-05-31,450.23
"711",2018-06-04,450.19
"712",2018-06-05,450.16
"713",2018-06-06,450.14
"714",2018-06-07,450.12
"715",2018-06-08,450.1
"716",2018-06-09,450.09
"717",2018-06-10,450.1
"718",2018-06-11,450.08
"719",2018-06-12,450.08
"720",2018-06-13,450.07
"721",2018-06-14,450.06
"722",2018-06-15,450.07
"723",2018-06-16,450.08
"724",2018-06-17,450.09
"725",2018-06-18,450.08
"726",2018-06-19,450.07
"727",2018-06-20,450.06
"728",2018-06-21,450.05
"729",2018-06-22,450.04
"730",2018-06-23,450.03
"731",2018-06-24,450.04
"732",2018-06-25,450.03
"733",2018-06-26,450.02
"734",2018-06-27,450.01
"735",2018-06-28,450
"736",2018-06-29,449.99
"737",2018-06-30,449.98
"738",2018-07-01,449.99
"739",2018-07-02,449.99
"740",2018-07-03,449.98
"741",2018-07-04,449.97
"742",2018-07-05,449.96
"743",2018-07-06,449.94
"744",2018-07-07,449.93
"745",2016-05-15,449.64
"746",2016-06-13,451.25
"747",2016-06-14,451.31
"748",2016-09-02,449.91
"749",2016-09-04,449.87
"750",2016-09-28,448.79
"751",2017-01-02,447.18
"752",2017-01-03,447.11
"753",2017-01-07,446.97
"754",2017-05-30,451.24
"755",2017-06-10,451.22
"756",2017-06-14,451.3
"757",2017-06-30,451.4
"758",2017-07-21,450.93
"759",2017-07-22,450.85
"760",2017-08-04,450.16
"761",2017-08-07,450.07
"762",2017-08-17,449.63
"763",2017-08-18,449.59
"764",2017-08-28,449.58
"765",2017-09-01,449.35
"766",2017-09-02,449.31
"767",2017-09-06,449.06
"768",2017-09-10,448.82
"769",2017-09-19,448.07
"770",2017-09-21,447.82
"771",2017-09-22,447.73
"772",2017-09-25,447.5
"773",2017-09-30,447
"774",2017-10-01,446.97
"775",2017-10-07,446.88
"776",2017-10-21,446.57
"777",2017-10-29,446.92
"778",2017-11-03,446.92
"779",2017-11-04,446.89
"780",2017-11-10,446.88
"781",2017-11-14,446.88
"782",2017-11-17,446.76
"783",2017-11-21,447.01
"784",2017-12-01,447.09
"785",2017-12-29,447.22
"786",2018-01-02,448.02
"787",2018-01-05,448.22
"788",2018-01-20,448.75
"789",2018-04-13,450.89
"790",2018-04-24,450.73
"791",2018-04-27,450.64
"792",2018-05-12,450.37
"793",2018-05-18,450.24
"794",2018-06-01,450.21
"795",2018-06-02,450.21
"796",2018-06-03,450.21
"797",2018-07-08,449.94
"798",2018-07-09,449.93
"799",2018-07-10,449.91
"800",2018-07-11,449.9
"801",2018-07-12,449.89
"802",2018-07-13,449.87
"803",2018-07-14,449.85
"804",2018-07-15,449.85
"805",2018-07-16,449.84
"806",2018-07-17,449.8
"807",2018-07-18,449.76
"808",2018-07-19,449.73
"809",2018-07-20,449.72
"810",2018-07-21,449.7
"811",2018-07-22,449.71
"812",2018-07-23,449.7
"813",2018-07-24,449.67
"814",2018-07-25,449.65
"815",2018-07-26,449.64
"816",2018-07-27,449.63
"817",2018-07-28,449.61
"818",2018-07-29,449.62
"819",2018-07-30,449.61
"820",2018-07-31,449.6
"821",2018-08-01,449.59
"822",2018-08-02,449.59
"823",2018-08-03,449.61
"824",2018-08-04,449.64
"825",2018-08-05,449.72
"826",2018-08-06,449.77
"827",2018-08-07,449.78
"828",2018-08-08,449.81
"829",2018-08-09,449.83
"830",2018-08-10,449.83
"831",2018-08-11,449.83
"832",2018-08-12,449.83
"833",2018-08-13,449.81
"834",2018-08-14,449.79
"835",2018-08-15,449.77
"836",2018-08-16,449.75
"837",2018-08-17,449.73
"838",2018-08-18,449.71
"839",2018-08-19,449.71
"840",2018-08-20,449.68
"841",2018-08-21,449.65
"842",2018-08-22,449.58
"843",2018-08-23,449.5
"844",2018-08-24,449.43
"845",2018-08-25,449.39
"846",2018-08-26,449.39
"847",2018-08-27,449.38
"848",2018-08-28,449.35
"849",2018-08-29,449.32
"850",2018-08-30,449.28
"851",2018-08-31,449.23
"852",2018-09-01,449.2
"853",2018-09-02,449.2
"854",2018-09-03,449.16
"855",2018-09-04,449.11
"856",2018-09-05,449.08
"857",2018-09-06,449.08
"858",2018-09-07,449.08
"859",2018-09-08,449.09
"860",2018-09-09,449.1
"861",2018-09-10,449.05
"862",2018-09-11,449
"863",2018-09-12,448.95
"864",2018-09-13,448.94
"865",2018-09-14,448.89
"866",2018-09-15,448.9
"867",2018-09-16,448.95
"868",2018-09-17,448.97
"869",2018-09-18,448.96
"870",2018-09-19,448.96
"871",2018-09-20,448.92
"872",2018-09-21,448.89
"873",2018-09-22,448.93
"874",2018-09-23,448.96
"875",2018-09-24,448.93
"876",2018-09-25,448.88
"877",2018-09-26,448.86
"878",2018-09-27,448.79
"879",2018-09-28,448.71
"880",2018-09-29,448.64
"881",2018-09-30,448.63
"882",2018-10-01,448.57
"883",2018-10-02,448.54
"884",2018-10-03,448.51
"885",2018-10-04,448.5
"886",2018-10-05,448.45
"887",2018-10-06,448.42
"888",2018-10-07,448.39
"889",2018-10-08,448.35
"890",2018-10-09,448.3
"891",2018-10-10,448.33
"892",2018-10-11,448.38
"893",2018-10-12,448.45
"894",2018-10-13,448.45
"895",2018-10-14,448.43
"896",2018-10-15,448.37
"897",2018-10-16,448.3
"898",2018-10-17,448.24
"899",2018-10-18,448.15
"900",2018-10-19,448.1
"901",2018-10-20,448.07
"902",2018-10-21,448.07
"903",2018-10-22,447.97
"904",2018-10-23,447.86
"905",2018-10-24,447.76
"906",2018-10-25,447.66
"907",2018-10-26,447.6
"908",2018-10-27,447.52
"909",2018-10-28,447.47
"910",2018-10-29,447.38
"911",2018-10-30,447.28
"912",2018-10-31,447.19
"913",2018-11-01,447.13
"914",2018-11-02,447.15
"915",2018-11-03,447.11
"916",2018-11-04,447.07
"917",2018-11-05,446.95
"918",2018-11-06,446.89
"919",2018-11-07,446.83
"920",2018-11-08,446.76
"921",2018-11-09,446.71
"922",2018-11-10,446.68
"923",2018-11-11,446.67
"924",2018-11-12,446.6
"925",2018-11-13,446.58
"926",2018-11-14,446.58
"927",2018-11-15,446.59
"928",2018-11-16,446.58
"929",2018-11-17,446.6
"930",2018-11-18,446.65
"931",2018-11-19,446.7
"932",2018-11-20,446.78
"933",2018-11-21,446.91
"934",2018-11-22,446.96
"935",2018-11-23,446.98
"936",2018-11-24,446.98
"937",2018-11-25,447.24
"938",2018-11-26,447.52
"939",2018-11-27,447.65
"940",2018-11-28,447.71
"941",2018-11-29,447.7
"942",2018-11-30,447.65
"943",2018-12-01,447.62
"944",2018-12-02,447.75
"945",2018-12-03,448.05
"946",2018-12-04,448.23
"947",2018-12-05,448.28
"948",2018-12-06,448.24
"949",2018-12-07,448.2
"950",2018-12-08,448.14
"951",2018-12-09,448.13
"952",2018-12-10,448.02
"953",2018-12-11,447.91
"954",2018-12-12,447.78
"955",2018-12-13,447.64
"956",2018-12-14,447.48
"957",2018-12-15,447.5
"958",2018-12-16,447.5
"959",2018-12-17,447.38
"960",2018-12-18,447.27
"961",2018-12-19,447.23
"962",2018-12-20,447.25
"963",2018-12-21,447.23
"964",2018-12-22,447.19
"965",2018-12-23,447.18
"966",2018-12-24,447.16
"967",2018-12-25,447.2
"968",2018-12-26,447.16
"969",2018-12-27,447.08
"970",2018-12-28,447
"971",2018-12-29,446.96
"972",2018-12-30,447
"973",2018-12-31,446.95
"974",2019-01-01,446.92
"975",2019-01-02,446.84
"976",2019-01-03,446.89
"977",2019-01-04,446.89
"978",2019-01-05,446.98
"979",2019-01-06,447.23
"980",2019-01-07,447.45
"981",2019-01-08,447.58
"982",2019-01-09,447.65
"983",2019-01-10,447.66
"984",2019-01-11,447.65
"985",2019-01-12,447.62
"986",2019-01-13,447.65
"987",2019-01-14,447.6
"988",2019-01-15,447.53
"989",2019-01-16,447.46
"990",2019-01-17,447.39
"991",2019-01-18,447.32
"992",2019-01-19,447.27
"993",2019-01-20,447.27
"994",2019-01-21,447.14
"995",2019-01-22,447.07
"996",2019-01-23,446.99
"997",2019-01-24,446.91
"998",2019-01-25,446.87
"999",2019-01-26,446.91
