date,BARRA BONITA,BATALHA,CHAVANTES,COMPLEXO ILHA SOLTEIRA,EMBORCACAO,FURNAS,ITAIPU,ITUMBIARA (FURNAS),MAL. MASCARENHAS DE MORAES,MARIMBONDO,NOVA PONTE,PARAIBUNA,SAO SIMAO (CEMIG),SEN. JOSE ERMIRIO DE MORAES,SERRA DA MESA,SERRA DO FACAO,TRES IRMAOS,TRES MARIAS
2000-01-01,578.9787096774195,,256.26129032258063,5392.369354838709,693.6451612903226,2177.83935483871,9505.870967741936,1554.225806451613,1287.0270967741935,2612.5787096774197,537.3225806451613,131.5016129032258,2678.7741935483873,2311.215483870968,1793.7380645161293,,989.4932258064517,1071.8387096774193
2000-02-01,690.6224137931032,,415.7834482758621,5923.185172413793,982.9655172413793,1819.111379310345,10722.275862068966,1792.5862068965516,984.4162068965517,3224.7686206896547,757.9310344827586,104.72172413793105,3131.862068965517,3141.156206896552,1718.7910344827587,,1088.5393103448275,2074.7586206896553
2000-03-01,470.1070967741936,,284.028064516129,7009.811290322579,975.7096774193549,1361.4812903225811,11403.09677419355,1994.225806451613,835.7132258064514,2398.3719354838713,688.1935483870968,92.75387096774193,2949.1612903225805,2879.9980645161295,1756.7674193548385,,961.3329032258065,1436.967741935484
2000-04-01,259.49333333333345,,235.93033333333332,5569.821,506.6666666666667,754.4726666666667,9936.6,1539.5,1016.6926666666667,1926.6429999999998,365.3333333333333,70.07166666666669,2187.133333333333,2319.232666666666,836.4376666666667,,815.654,663.8666666666667
2000-05-01,180.81032258064516,,208.59161290322587,5361.657096774193,301.5483870967742,511.3435483870968,9379.290322580646,1706.3548387096773,1068.27935483871,1682.841290322581,224.41935483870967,41.92000000000001,2097.8387096774195,2307.394838709677,424.35709677419356,,826.7303225806452,390.64516129032256
2000-06-01,167.1786666666666,,212.58599999999998,5568.985333333334,221.93333333333334,486.41166666666675,9908.633333333333,1336.0,885.8600000000001,1593.3043333333333,162.56666666666666,35.80166666666666,2259.866666666667,1901.9483333333337,296.93199999999996,,784.1133333333331,279.6333333333333
2000-07-01,204.75000000000006,,198.93677419354836,5149.811612903226,174.1290322580645,410.5151612903226,10409.612903225807,1143.9032258064517,860.081935483871,1442.6661290322575,136.4516129032258,36.45903225806452,2171.032258064516,1842.4051612903227,219.64129032258066,,588.7099999999999,201.83870967741936
2000-08-01,199.78290322580645,,174.82,5190.267741935483,139.06451612903226,380.0154838709676,10086.322580645161,1229.1012903225803,970.6732258064515,1371.3596774193552,103.90322580645162,36.86290322580644,2224.516129032258,1807.3841935483872,157.27870967741936,,606.3309677419355,143.38709677419354
2000-09-01,343.84133333333347,,317.21299999999997,4420.467333333333,188.76666666666668,597.211,13444.0,929.3,850.1333333333333,1452.3230000000003,157.26666666666668,54.308,2100.866666666667,1506.026666666667,172.46466666666666,,737.1846666666664,223.3
2000-10-01,191.79516129032257,,206.2393548387097,4744.243870967742,96.48387096774194,324.2167741935484,11447.612903225807,1079.0216129032258,929.7919354838708,1196.6670967741936,89.7741935483871,36.79225806451612,2231.2903225806454,1781.995483870968,136.14000000000001,,716.715483870968,98.41935483870968
2000-11-01,384.1276666666667,,215.94500000000005,4463.798,301.3666666666667,680.0036666666667,10755.366666666667,1206.7,681.4809999999999,1410.7383333333337,187.46666666666667,69.16699999999999,1983.4666666666667,1375.8573333333334,679.7790000000002,,673.4216666666667,568.9666666666667
2000-12-01,615.0964516129033,,243.97935483870967,4636.387741935482,611.1612903225806,1009.932258064516,10787.741935483871,1394.6129032258063,673.0419354838708,1512.400967741936,285.83870967741933,94.29451612903226,2671.7741935483873,1643.4348387096775,1313.6858064516127,,900.1035483870969,905.8387096774194
2001-01-01,570.1148387096774,,220.98838709677418,5021.923870967741,443.93548387096774,872.7180645161291,11947.387096774193,1137.0,714.3467741935484,1436.6783870967745,298.1290322580645,78.98129032258065,2472.2580645161293,1736.4816129032256,797.3816129032259,,765.2951612903227,736.1612903225806
2001-02-01,856.257142857143,,487.44928571428574,4796.722857142856,271.42857142857144,678.6685714285715,13432.857142857143,1007.2857142857143,839.3564285714286,1593.109642857143,215.46428571428572,97.57785714285716,2302.6071428571427,1393.2703571428572,592.7357142857144,,1190.7907142857146,313.10714285714283
2001-03-01,512.0038709677419,,434.74258064516124,4597.768709677419,385.03225806451616,584.576129032258,9947.451612903225,1121.741935483871,735.7664516129032,1452.0803225806453,245.74193548387098,74.4793548387097,2410.2580645161293,1625.764516129033,970.577741935484,,949.3006451612905,430.7096774193548
2001-04-01,313.7843333333332,,293.14700000000005,4664.8213333333315,251.4,444.96933333333334,10361.333333333334,1128.5666666666666,701.0983333333334,1315.9476666666667,170.83333333333334,44.981999999999985,2132.1,1743.9693333333337,534.7323333333331,,858.2209999999997,192.93333333333334
2001-05-01,272.05709677419355,,379.4429032258065,3846.6832258064524,180.0,358.8803225806452,9204.354838709678,1056.6129032258063,458.79290322580647,926.4525806451613,135.5483870967742,44.04870967741936,1502.4516129032259,1110.104193548387,294.91032258064524,,772.5412903225806,134.67741935483872
2001-06-01,206.649,,345.869,2666.6240000000007,126.5,278.2603333333334,8324.033333333333,561.8333333333334,321.124,731.7429999999999,106.9,30.556333333333328,1032.1,717.5833333333335,172.7483333333334,,563.874,116.63333333333334
2001-07-01,197.86774193548385,,277.09612903225803,2290.5503225806456,94.7741935483871,244.67903225806455,7207.451612903225,487.4516129032258,314.2825806451613,577.613870967742,92.7741935483871,33.089677419354835,1150.3870967741937,447.8738709677419,137.92322580645163,,579.5135483870968,99.58064516129032
