Data Escala de Tempo 1 GE Simp 4,cod_aneel (tb_referenciacegusina (Usina)),cod_nucleoaneel (tb_referenciacegusina (Usina)),Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina2,Período Exibido GE,Selecione Tipo de GE Simp 4
2/3/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,3/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.6768
2/4/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,4/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.6609
2/5/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,5/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7431
2/6/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,6/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7509
2/7/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,7/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7489
2/8/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,8/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7545
2/9/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,9/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7615
2/10/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,10/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.753
2/11/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,11/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7503
2/12/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,12/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7011
2/13/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,13/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.6625
