,year_month,accumulate_riodoce,accumulate_baguari,accumulate_piracicaba,accumulate_antonio,Doce_total
236,202002,145.24,207.57,170.69,153.8,677.3
237,202003,233.09,200.82,217.01,271.87,922.79
238,202004,64.37,63.29,65.64,66.96,260.26
239,202005,84.73,57.51,33.49,64.95,240.68
240,202006,19.0,5.21,7.47,5.62,37.3
241,202007,17.18,11.55,7.44,7.27,43.44
242,202008,29.61,19.3,12.74,10.32,71.97
243,202009,11.72,10.47,6.68,3.84,32.71
244,202010,118.34,127.93,132.04,160.12,538.4300000000001
245,202011,113.54,150.14,124.59,128.22,516.49
246,202012,110.42,202.78,220.11,159.85,693.16
