date,date,year,month,furnas,marimbondo,paraibuna,solteira,itaipu,sao_simao,emborcacao,s_do_facao,batalha,itumbiara,nova_ponte,chavantes,tres_marias,tres_irmaos,b_bonita,serra_da_mesa
2013-12-01,2013-12-01,2013,12,160.15,169.19,206.83,169.34,109.99,181.03,256.36,256.36,256.36,210.74,210.74,52.67,248.89,103.75,103.75,273.71
2014-01-01,2014-01-01,2014,1,90.79,83.87,128.15,165.77,155.01,105.35,125.7,125.7,125.7,90.05,90.05,166.3,65.25,110.16,110.16,130.89
2014-02-01,2014-02-01,2014,2,38.87,73.44,72.14,113.74,120.49,128.96,71.69,71.69,71.69,68.56,68.56,86.53,19.62,81.51,81.51,180.25
2014-03-01,2014-03-01,2014,3,87.77,112.22,78.35,257.91,166.02,210.82,111.1,111.1,111.1,129.66,129.66,142.19,78.83,132.98,132.98,184.26
2014-04-01,2014-04-01,2014,4,82.07,73.04,86.49,43.96,109.26,99.56,120.52,120.52,120.52,110.09,110.09,143.09,70.11,64.1,64.1,127.48
2014-05-01,2014-05-01,2014,5,17.76,15.76,39.03,26.76,115.15,3.92,10.62,10.62,10.62,17.86,17.86,91.76,9.8,40.25,40.25,11.01
2014-06-01,2014-06-01,2014,6,9.94,3.69,19.44,7.79,112.01,2.07,2.03,2.03,2.03,1.44,1.44,78.27,6.42,6.41,6.41,2.29
2014-07-01,2014-07-01,2014,7,46.36,45.05,50.18,84.34,120.23,63.39,26.62,26.62,26.62,67.15,67.15,67.0,43.32,34.26,34.26,1.93
2014-08-01,2014-08-01,2014,8,10.33,1.19,19.71,0.47,15.78,0.18,0.8,0.8,0.8,0.33,0.33,42.27,1.0,13.62,13.62,0.51
2014-09-01,2014-09-01,2014,9,31.02,43.34,50.79,81.76,176.44,38.85,14.65,14.65,14.65,17.08,17.08,183.12,5.6,83.2,83.2,37.16
2014-10-01,2014-10-01,2014,10,37.21,37.75,45.07,76.59,54.23,33.74,38.85,38.85,38.85,52.77,52.77,27.85,52.27,28.22,28.22,68.42
2014-11-01,2014-11-01,2014,11,149.25,176.03,133.05,227.91,158.28,200.15,204.13,204.13,204.13,273.83,273.83,126.74,190.44,165.2,165.2,185.48
2014-12-01,2014-12-01,2014,12,141.58,191.46,136.51,160.98,161.91,212.42,193.91,193.91,193.91,171.74,171.74,210.0,118.02,191.88,191.88,190.22
2015-01-01,2015-01-01,2015,1,84.98,87.63,129.89,138.62,144.19,104.09,63.86,63.86,63.86,73.01,73.01,136.24,90.88,141.44,141.44,64.34
2015-02-01,2015-02-01,2015,2,166.4,197.13,248.34,239.17,157.07,189.35,158.64,158.64,158.64,240.16,240.16,202.77,166.0,196.47,196.47,182.21
2015-03-01,2015-03-01,2015,3,159.52,197.85,199.56,188.7,113.88,207.7,167.59,167.59,167.59,235.17,235.17,167.11,164.54,191.32,191.32,211.28
2015-04-01,2015-04-01,2015,4,43.62,72.24,74.36,47.85,71.01,96.93,78.06,78.06,78.06,83.66,83.66,36.84,37.77,45.88,45.88,132.88
2015-05-01,2015-05-01,2015,5,48.93,74.62,49.77,111.75,128.52,59.09,55.73,55.73,55.73,76.32,76.32,133.16,45.56,73.22,73.22,46.73
2015-06-01,2015-06-01,2015,6,29.44,19.35,37.05,33.49,50.35,11.64,17.2,17.2,17.2,25.28,25.28,18.18,11.65,21.71,21.71,1.61
2015-07-01,2015-07-01,2015,7,11.34,22.67,27.22,54.91,194.89,10.34,2.41,2.41,2.41,5.48,5.48,168.49,4.14,67.07,67.07,4.34
2015-08-01,2015-08-01,2015,8,20.04,5.8,57.04,13.95,27.12,6.21,2.37,2.37,2.37,0.48,0.48,44.52,2.3,19.04,19.04,7.74
2015-09-01,2015-09-01,2015,9,121.36,112.54,101.86,99.9,134.34,48.11,69.33,69.33,69.33,71.78,71.78,222.78,64.66,147.77,147.77,21.6
2015-10-01,2015-10-01,2015,10,53.64,77.91,87.6,63.39,133.58,53.27,60.9,60.9,60.9,54.59,54.59,220.25,66.36,74.46,74.46,73.3
2015-11-01,2015-11-01,2015,11,181.99,210.38,172.4,265.98,260.08,214.24,185.99,185.99,185.99,197.54,197.54,337.21,132.95,245.65,245.65,163.37
2015-12-01,2015-12-01,2015,12,208.54,208.54,215.54,216.23,222.97,175.58,136.51,136.51,136.51,197.08,197.08,290.77,179.99,200.1,200.1,138.44
2016-01-01,2016-01-01,2016,1,329.39,354.66,281.13,286.79,162.36,333.9,345.74,345.74,345.74,341.97,341.97,284.8,306.42,276.84,276.84,425.18
2016-02-01,2016-02-01,2016,2,142.67,167.69,173.88,135.92,183.29,110.63,128.69,128.69,128.69,126.28,126.28,236.47,82.93,199.21,199.21,96.93
2016-03-01,2016-03-01,2016,3,169.89,216.08,159.72,113.92,94.64,176.33,158.97,158.97,158.97,199.85,199.85,105.15,113.2,153.66,153.66,169.37
2016-04-01,2016-04-01,2016,4,20.24,8.84,9.71,78.62,60.16,9.79,7.24,7.24,7.24,5.39,5.39,59.89,9.98,28.21,28.21,17.07
2016-05-01,2016-05-01,2016,5,19.61,42.77,51.26,102.28,168.92,20.92,11.69,11.69,11.69,10.39,10.39,168.45,7.51,92.47,92.47,5.21
2016-06-01,2016-06-01,2016,6,81.54,86.51,160.04,60.76,62.5,21.6,17.51,17.51,17.51,41.83,41.83,107.0,40.23,135.13,135.13,3.41
2016-07-01,2016-07-01,2016,7,0.37,0.51,0.81,2.49,31.25,0.01,0.03,0.03,0.03,0.0,0.0,39.21,0.04,5.25,5.25,18.55
2016-08-01,2016-08-01,2016,8,31.39,32.44,35.24,31.77,110.48,28.12,13.47,13.47,13.47,20.73,20.73,132.88,7.7,42.6,42.6,13.61
2016-09-01,2016-09-01,2016,9,25.43,14.74,27.4,67.17,41.16,16.45,17.11,17.11,17.11,13.62,13.62,64.73,28.68,35.16,35.16,52.48
2016-10-01,2016-10-01,2016,10,128.5,115.66,125.06,76.17,144.63,118.09,86.56,86.56,86.56,121.19,121.19,142.54,92.09,117.25,117.25,104.2
2016-11-01,2016-11-01,2016,11,186.82,179.46,194.88,104.96,72.41,186.09,220.57,220.57,220.57,222.75,222.75,77.24,168.4,114.54,114.54,185.91
2016-12-01,2016-12-01,2016,12,147.55,181.86,148.15,214.01,181.32,171.82,208.42,208.42,208.42,226.67,226.67,137.43,169.98,174.43,174.43,93.77
2017-01-01,2017-01-01,2017,1,166.86,237.08,248.04,342.49,201.18,193.41,146.73,146.73,146.73,207.09,207.09,288.25,118.32,277.94,277.94,120.48
2017-02-01,2017-02-01,2017,2,91.26,113.99,31.48,105.5,140.46,140.07,180.9,180.9,180.9,150.24,150.24,88.89,116.44,109.29,109.29,149.67
2017-03-01,2017-03-01,2017,3,119.3,122.19,242.67,174.92,139.79,192.67,104.61,104.61,104.61,110.39,110.39,112.77,76.7,115.64,115.64,129.28
2017-04-01,2017-04-01,2017,4,57.03,88.09,95.68,103.39,143.19,107.12,33.24,33.24,33.24,53.68,53.68,107.73,38.18,114.61,114.61,83.79
2017-05-01,2017-05-01,2017,5,73.05,100.52,73.08,111.49,150.54,53.03,59.97,59.97,59.97,72.92,72.92,160.59,48.24,136.17,136.17,34.6
2017-06-01,2017-06-01,2017,6,27.1,9.84,52.92,4.97,63.54,1.14,3.16,3.16,3.16,5.9,5.9,130.01,17.02,45.5,45.5,1.43
2017-07-01,2017-07-01,2017,7,1.26,0.25,12.51,0.0,0.91,0.0,0.01,0.01,0.01,0.1,0.1,1.03,0.22,1.15,1.15,7.22
2017-08-01,2017-08-01,2017,8,15.74,14.52,66.64,35.98,93.0,0.79,2.47,2.47,2.47,0.21,0.21,91.46,0.06,47.72,47.72,11.49
2017-09-01,2017-09-01,2017,9,5.82,0.97,3.39,1.73,15.66,2.59,0.94,0.94,0.94,0.26,0.26,4.66,2.51,0.65,0.65,2.92
2017-10-01,2017-10-01,2017,10,95.76,103.37,74.4,136.12,207.03,54.64,87.47,87.47,87.47,95.78,95.78,224.38,66.49,111.95,111.95,34.06
2017-11-01,2017-11-01,2017,11,143.14,193.5,156.6,195.61,176.9,255.2,225.77,225.77,225.77,246.39,246.39,172.09,158.05,181.41,181.41,222.61
2017-12-01,2017-12-01,2017,12,200.81,178.29,150.82,276.39,220.89,216.93,205.11,205.11,205.11,219.4,219.4,208.14,229.14,152.26,152.26,225.88
2018-01-01,2018-01-01,2018,1,196.45,235.34,331.07,227.42,200.31,197.01,155.99,155.99,155.99,186.82,186.82,224.77,171.83,215.11,215.11,127.1
2018-02-01,2018-02-01,2018,2,116.62,133.03,245.06,122.31,128.97,162.32,205.59,205.59,205.59,194.09,194.09,67.96,218.31,80.55,80.55,153.63
2018-03-01,2018-03-01,2018,3,117.75,100.0,231.23,64.09,169.34,125.63,121.05,121.05,121.05,91.91,91.91,161.21,131.86,125.06,125.06,188.43
2018-04-01,2018-04-01,2018,4,29.52,34.66,92.1,47.02,28.25,106.66,103.83,103.83,103.83,111.71,111.71,15.59,24.43,31.21,31.21,78.03
2018-05-01,2018-05-01,2018,5,29.19,20.63,40.41,13.58,43.92,17.0,15.55,15.55,15.55,21.35,21.35,40.05,16.11,16.36,16.36,26.24
2018-06-01,2018-06-01,2018,6,21.76,5.56,63.83,0.31,36.35,0.2,4.09,4.09,4.09,0.55,0.55,35.62,5.21,10.78,10.78,0.01
2018-07-01,2018-07-01,2018,7,4.39,0.66,18.09,0.0,0.85,0.01,1.16,1.16,1.16,0.07,0.07,1.84,0.13,0.89,0.89,0.0
2018-08-01,2018-08-01,2018,8,71.58,48.92,103.71,21.73,79.5,12.12,20.36,20.36,20.36,17.5,17.5,107.54,34.48,67.33,67.33,15.12
2018-09-01,2018-09-01,2018,9,76.15,65.06,86.31,97.32,135.5,56.22,60.89,60.89,60.89,54.64,54.64,99.99,43.01,66.82,66.82,17.93
2018-10-01,2018-10-01,2018,10,177.56,166.25,225.57,135.6,228.18,171.03,163.29,163.29,163.29,168.73,168.73,172.31,126.51,177.95,177.95,164.83
2018-11-01,2018-11-01,2018,11,202.14,246.09,260.62,216.18,144.45,286.85,344.27,344.27,344.27,352.41,352.41,81.85,269.48,152.01,152.01,230.32
2018-12-01,2018-12-01,2018,12,215.86,135.51,215.56,102.8,89.56,161.78,195.75,195.75,195.75,197.06,197.06,117.34,192.71,118.85,118.85,221.92
2019-01-01,2019-01-01,2019,1,110.05,108.44,224.24,110.64,141.03,136.62,72.69,72.69,72.69,108.77,108.77,187.73,73.5,139.52,139.52,106.7
2019-02-01,2019-02-01,2019,2,192.34,211.23,230.55,219.83,169.13,218.63,191.73,191.73,191.73,228.47,228.47,132.88,173.29,174.6,174.6,162.38
2019-03-01,2019-03-01,2019,3,166.99,177.22,220.0,105.45,151.49,171.67,193.17,193.17,193.17,171.09,171.09,100.83,144.97,129.28,129.28,257.04
2019-04-01,2019-04-01,2019,4,107.01,147.73,84.11,95.17,85.99,123.21,86.46,86.46,86.46,92.06,92.06,100.78,65.58,105.47,105.47,165.58
2019-05-01,2019-05-01,2019,5,50.84,28.98,129.72,35.04,93.98,41.04,58.33,58.33,58.33,38.86,38.86,78.55,44.79,33.77,33.77,32.54
2019-06-01,2019-06-01,2019,6,8.64,7.75,30.15,11.76,32.92,0.45,2.45,2.45,2.45,1.7,1.7,81.38,8.11,21.64,21.64,0.23
2019-07-01,2019-07-01,2019,7,16.97,14.68,65.98,13.45,34.66,0.75,3.66,3.66,3.66,0.67,0.67,63.06,0.61,52.58,52.58,0.49
2019-08-01,2019-08-01,2019,8,16.4,16.18,59.15,55.74,9.31,3.93,3.15,3.15,3.15,4.96,4.96,13.28,3.32,16.09,16.09,0.68
2019-09-01,2019-09-01,2019,9,67.79,61.67,63.91,39.99,44.8,27.41,20.36,20.36,20.36,43.79,43.79,111.82,38.59,50.47,50.47,7.32
2019-10-01,2019-10-01,2019,10,61.64,70.14,55.71,77.54,78.92,80.25,61.01,61.01,61.01,92.02,92.02,37.16,53.27,53.09,53.09,91.0
2019-11-01,2019-11-01,2019,11,187.53,161.54,115.5,144.85,131.74,198.62,151.21,151.21,151.21,165.99,165.99,212.84,162.19,121.51,121.51,151.85
2019-12-01,2019-12-01,2019,12,176.5,202.89,96.29,241.85,240.64,273.37,274.48,274.48,274.48,278.04,278.04,135.97,212.13,172.33,172.33,150.58
2020-01-01,2020-01-01,2020,1,204.87,270.04,135.96,194.71,153.05,302.18,352.16,352.16,352.16,368.76,368.76,135.65,316.41,161.14,161.14,330.5
2020-02-01,2020-02-01,2020,2,402.84,274.88,238.01,205.09,157.25,316.22,328.15,328.15,328.15,359.01,359.01,152.36,274.42,263.02,263.02,305.4
2020-03-01,2020-03-01,2020,3,107.19,96.72,94.96,60.22,62.24,127.06,211.88,211.88,211.88,139.13,139.13,35.02,128.28,72.16,72.16,320.96
2020-04-01,2020-04-01,2020,4,26.36,20.06,12.21,51.87,70.1,68.55,98.11,98.11,98.11,47.62,47.62,35.95,55.82,17.81,17.81,148.73
2020-05-01,2020-05-01,2020,5,25.53,22.56,23.46,15.88,76.08,27.75,34.96,34.96,34.96,30.84,30.84,54.05,37.11,20.49,20.49,22.52
2020-06-01,2020-06-01,2020,6,17.24,13.84,30.36,15.42,80.11,0.3,1.18,1.18,1.18,1.32,1.32,144.0,1.87,57.85,57.85,0.38
2020-07-01,2020-07-01,2020,7,3.75,0.99,3.22,2.12,15.47,2.66,0.81,0.81,0.81,3.71,3.71,42.87,3.43,3.94,3.94,0.01
2020-08-01,2020-08-01,2020,8,16.44,7.96,33.92,3.98,110.41,1.57,0.88,0.88,0.88,1.42,1.42,137.2,10.84,32.98,32.98,0.02
2020-09-01,2020-09-01,2020,9,34.47,13.2,38.88,2.98,14.99,11.51,9.11,9.11,9.11,11.27,11.27,14.46,15.51,9.18,9.18,23.68
2020-10-01,2020-10-01,2020,10,50.52,60.51,71.01,87.05,86.27,95.27,110.61,110.61,110.61,94.09,94.09,86.97,128.87,55.05,55.05,129.05
2020-11-01,2020-11-01,2020,11,136.0,94.64,110.14,51.48,57.99,114.72,113.66,113.66,113.66,111.29,111.29,99.22,138.09,82.9,82.9,189.25
2020-12-01,2020-12-01,2020,12,317.28,261.17,305.97,129.19,159.88,253.04,282.34,282.34,282.34,328.7,328.7,150.33,218.16,172.01,172.01,172.71
