date,date,year,month,furnas,marimbondo,paraibuna,solteira,itaipu,sao_simao,emborcacao,s_do_facao,batalha,itumbiara,nova_ponte,chavantes,tres_marias,tres_irmaos,b_bonita,serra_da_mesa
2003-07-01,2003-07-01,2003,7,16.31,8.95,22.01,3.09,42.82,0.18,3.12,3.12,3.12,2.72,2.72,102.57,4.28,15.55,15.55,0.5
2003-08-01,2003-08-01,2003,8,17.46,18.79,28.14,25.6,45.83,13.39,12.91,12.91,12.91,7.68,7.68,29.15,17.33,21.03,21.03,22.23
2003-09-01,2003-09-01,2003,9,28.58,28.15,33.27,18.35,104.96,41.08,30.4,30.4,30.4,54.89,54.89,92.99,28.26,22.33,22.33,20.02
2003-10-01,2003-10-01,2003,10,85.38,80.11,172.54,101.77,149.37,90.34,62.02,62.02,62.02,55.15,55.15,128.63,37.94,113.05,113.05,80.79
2003-11-01,2003-11-01,2003,11,145.47,159.64,137.62,116.94,150.57,157.79,135.22,135.22,135.22,218.62,218.62,174.65,123.12,143.25,143.25,196.68
2003-12-01,2003-12-01,2003,12,214.52,203.25,141.18,147.72,171.97,187.88,156.05,156.05,156.05,193.62,193.62,176.37,183.9,187.65,187.65,183.43
2004-01-01,2004-01-01,2004,1,210.83,288.33,194.15,257.28,127.33,265.68,319.93,319.93,319.93,324.26,324.26,248.05,235.03,286.76,286.76,402.92
2004-02-01,2004-02-01,2004,2,330.58,322.5,257.1,153.02,107.98,309.77,343.68,343.68,343.68,345.99,345.99,110.6,285.44,214.17,214.17,385.6
2004-03-01,2004-03-01,2004,3,118.27,107.15,105.71,60.67,105.0,162.26,171.7,171.7,171.7,189.99,189.99,109.03,139.24,92.47,92.47,227.82
2004-04-01,2004-04-01,2004,4,115.14,136.1,163.13,71.8,117.07,135.7,129.53,129.53,129.53,105.4,105.4,115.73,83.57,105.77,105.77,124.23
2004-05-01,2004-05-01,2004,5,83.64,100.67,94.28,101.18,227.01,23.99,17.71,17.71,17.71,25.74,25.74,189.89,17.87,114.41,114.41,15.11
2004-06-01,2004-06-01,2004,6,51.72,38.66,58.63,41.58,94.73,3.74,2.79,2.79,2.79,4.56,4.56,84.3,19.8,58.8,58.8,3.41
2004-07-01,2004-07-01,2004,7,37.79,50.83,99.11,33.2,77.1,15.03,17.16,17.16,17.16,33.56,33.56,113.32,35.66,70.1,70.1,1.51
2004-08-01,2004-08-01,2004,8,3.03,0.25,6.62,2.52,5.44,0.05,1.37,1.37,1.37,0.06,0.06,1.51,0.18,0.99,0.99,0.51
2004-09-01,2004-09-01,2004,9,25.33,9.36,31.72,6.75,35.2,3.86,4.45,4.45,4.45,3.73,3.73,40.91,6.22,9.44,9.44,1.85
2004-10-01,2004-10-01,2004,10,140.62,183.97,118.44,163.0,217.83,126.0,48.27,48.27,48.27,93.23,93.23,187.83,73.44,154.84,154.84,150.96
2004-11-01,2004-11-01,2004,11,184.32,156.31,165.84,179.06,200.76,142.63,113.33,113.33,113.33,134.21,134.21,123.98,95.05,160.4,160.4,116.66
2004-12-01,2004-12-01,2004,12,253.06,310.54,149.04,247.12,138.45,193.38,252.38,252.38,252.38,292.84,292.84,130.12,277.93,166.8,166.8,162.5
2005-01-01,2005-01-01,2005,1,377.15,364.16,273.29,412.38,270.26,292.21,265.45,265.45,265.45,340.52,340.52,360.89,292.92,357.17,357.17,255.91
2005-02-01,2005-02-01,2005,2,93.48,61.34,50.53,42.97,43.77,53.15,95.1,95.1,95.1,99.93,99.93,21.26,88.52,75.88,75.88,122.05
2005-03-01,2005-03-01,2005,3,157.74,175.26,26.29,105.42,42.7,148.85,156.76,156.76,156.76,171.38,171.38,73.17,222.39,165.32,165.32,199.23
2005-04-01,2005-04-01,2005,4,55.65,47.14,131.85,36.58,105.21,29.45,44.8,44.8,44.8,19.52,19.52,58.53,25.08,59.3,59.3,108.79
2005-05-01,2005-05-01,2005,5,98.66,116.08,102.93,90.11,88.17,31.55,30.56,30.56,30.56,75.84,75.84,110.56,63.03,110.99,110.99,25.93
2005-06-01,2005-06-01,2005,6,23.89,27.68,37.36,26.61,99.26,13.12,14.27,14.27,14.27,23.77,23.77,34.83,13.57,40.99,40.99,3.55
