,year_month,accumulate_riogrande,accumulate_vermelha,accumulate_furnas,accumulate_marimbondo,Grande_total
119,201005,17.24,10.64,28.47,14.05,70.39999999999999
120,201006,5.76,11.88,10.46,12.43,40.53
121,201007,1.28,2.59,21.73,11.65,37.25
122,201008,0.83,0.08,0.58,0.75,2.2399999999999998
123,201009,62.31,73.32,63.88,61.15,260.65999999999997
124,201010,94.77,131.37,116.03,79.19,421.35999999999996
125,201011,115.84,79.87,201.78,150.07,547.56
126,201012,115.58,117.45,279.95,193.93,706.9100000000001
127,201101,326.08,338.29,363.16,264.01,1291.54
128,201102,299.42,207.82,91.46,121.66,720.36
129,201103,508.52,469.62,255.67,282.46,1516.27
130,201104,62.4,89.18,72.27,127.76,351.61
131,201105,16.77,9.09,12.23,7.34,45.43000000000001
132,201106,39.53,30.19,23.69,33.18,126.59
133,201107,0.37,0.23,0.77,0.27,1.6400000000000001
134,201108,16.23,16.27,8.79,14.0,55.29
135,201109,9.51,7.98,4.94,9.64,32.07000000000001
136,201110,122.88,125.57,119.74,174.35,542.54
137,201111,139.81,129.14,135.78,141.07,545.8
138,201112,141.73,175.72,249.02,193.99,760.46
139,201201,351.36,353.75,312.23,332.06,1349.4
140,201202,61.08,93.23,86.67,99.19,340.17
141,201203,83.76,100.29,119.31,90.97,394.33000000000004
142,201204,84.09,94.18,62.87,81.87,323.01
143,201205,54.96,46.88,55.26,57.27,214.37
144,201206,129.06,111.88,94.96,105.32,441.21999999999997
145,201207,5.52,15.12,22.51,28.63,71.78
146,201208,0.02,0.0,5.36,0.4,5.78
147,201209,87.36,78.26,39.35,51.31,256.28
148,201210,56.98,37.36,55.65,72.29,222.28000000000003
149,201211,170.36,169.69,159.54,160.81,660.4000000000001
150,201212,225.7,271.03,192.07,182.01,870.81
151,201301,194.04,228.08,288.94,269.12,980.18
152,201302,157.58,196.59,142.15,172.87,669.19
153,201303,206.91,195.52,175.57,205.12,783.12
154,201304,56.26,88.99,61.27,99.53,306.05
155,201305,23.16,77.95,57.83,98.49,257.43
156,201306,114.09,55.84,29.07,40.91,239.91
157,201307,16.47,32.82,39.79,25.63,114.71
158,201308,0.56,0.16,5.69,6.14,12.55
159,201309,31.92,65.77,60.24,60.67,218.60000000000002
160,201310,92.83,95.88,96.31,124.89,409.90999999999997
161,201311,79.28,149.56,169.75,162.74,561.33
162,201312,176.37,162.62,160.15,169.19,668.3299999999999
163,201401,178.26,92.68,90.79,83.87,445.6
164,201402,111.3,145.34,38.87,73.44,368.95
165,201403,160.52,221.99,87.77,112.22,582.5
166,201404,55.35,65.66,82.07,73.04,276.12
167,201405,29.72,18.0,17.76,15.76,81.24000000000001
168,201406,6.25,3.12,9.94,3.69,23.000000000000004
169,201407,80.46,49.67,46.36,45.05,221.54000000000002
170,201408,0.15,0.12,10.33,1.19,11.79
171,201409,84.0,69.03,31.02,43.34,227.39000000000001
172,201410,44.12,24.43,37.21,37.75,143.51
173,201411,179.2,232.41,149.25,176.03,736.89
174,201412,167.41,169.45,141.58,191.46,669.9000000000001
175,201501,179.73,149.01,84.98,87.63,501.35
176,201502,307.45,162.78,166.4,197.13,833.76
177,201503,188.86,166.16,159.52,197.85,712.39
178,201504,43.79,53.55,43.62,72.24,213.2
179,201505,128.57,73.25,48.93,74.62,325.37
180,201506,22.98,14.1,29.44,19.35,85.87
181,201507,65.71,30.81,11.34,22.67,130.53
182,201508,13.35,7.76,20.04,5.8,46.949999999999996
183,201509,97.02,107.84,121.36,112.54,438.76000000000005
184,201510,74.17,80.48,53.64,77.91,286.20000000000005
185,201511,239.47,248.17,181.99,210.38,880.01
186,201512,161.53,161.33,208.54,208.54,739.9399999999999
187,201601,307.86,386.11,329.39,354.66,1378.02
188,201602,97.76,142.36,142.67,167.69,550.48
189,201603,103.11,169.76,169.89,216.08,658.84
190,201604,50.92,23.4,20.24,8.84,103.39999999999999
191,201605,85.46,66.61,19.61,42.77,214.45000000000002
192,201606,42.04,54.34,81.54,86.51,264.43
193,201607,1.25,0.45,0.37,0.51,2.58
194,201608,24.58,28.55,31.39,32.44,116.96
195,201609,27.86,18.29,25.43,14.74,86.32
196,201610,83.0,95.64,128.5,115.66,422.79999999999995
197,201611,87.82,155.55,186.82,179.46,609.65
198,201612,271.01,222.52,147.55,181.86,822.9399999999999
199,201701,367.09,238.65,166.86,237.08,1009.6800000000001
200,201702,116.87,110.25,91.26,113.99,432.37
201,201703,167.0,151.93,119.3,122.19,560.4200000000001
202,201704,93.85,129.88,57.03,88.09,368.85
203,201705,109.01,105.99,73.05,100.52,388.57
204,201706,4.14,2.16,27.1,9.84,43.239999999999995
205,201707,0.0,0.06,1.26,0.25,1.57
206,201708,23.25,16.47,15.74,14.52,69.98
207,201709,0.5,1.23,5.82,0.97,8.520000000000001
208,201710,121.57,88.0,95.76,103.37,408.7
209,201711,225.94,244.3,143.14,193.5,806.88
210,201712,283.5,238.62,200.81,178.29,901.22
211,201801,220.03,264.66,196.45,235.34,916.4800000000001
212,201802,157.49,132.02,116.62,133.03,539.16
213,201803,95.98,95.09,117.75,100.0,408.82
214,201804,56.03,49.67,29.52,34.66,169.88
215,201805,11.15,18.01,29.19,20.63,78.98
216,201806,0.88,1.1,21.76,5.56,29.3
217,201807,0.0,0.09,4.39,0.66,5.14
218,201808,29.75,34.06,71.58,48.92,184.31
219,201809,104.31,80.32,76.15,65.06,325.84
220,201810,148.82,151.74,177.56,166.25,644.37
221,201811,248.99,256.84,202.14,246.09,954.0600000000001
222,201812,122.78,144.39,215.86,135.51,618.54
223,201901,148.17,82.98,110.05,108.44,449.64
224,201902,213.52,244.02,192.34,211.23,861.11
225,201903,98.95,108.31,166.99,177.22,551.47
226,201904,110.51,127.47,107.01,147.73,492.72
227,201905,23.08,17.82,50.84,28.98,120.72000000000001
228,201906,12.31,9.19,8.64,7.75,37.89
229,201907,6.77,8.13,16.97,14.68,46.55
230,201908,50.38,17.99,16.4,16.18,100.95000000000002
231,201909,51.72,53.18,67.79,61.67,234.36
232,201910,62.54,69.33,61.64,70.14,263.65
233,201911,190.79,151.63,187.53,161.54,691.4899999999999
234,201912,196.16,274.08,176.5,202.89,849.63
235,202001,165.84,253.0,204.87,270.04,893.75
236,202002,233.99,259.73,402.84,274.88,1171.44
237,202003,71.16,73.49,107.19,96.72,348.55999999999995
238,202004,33.66,33.91,26.36,20.06,113.99
239,202005,21.2,21.52,25.53,22.56,90.81
240,202006,6.93,7.53,17.24,13.84,45.54
241,202007,5.57,5.17,3.75,0.99,15.48
242,202008,3.37,5.49,16.44,7.96,33.26
243,202009,4.84,7.17,34.47,13.2,59.67999999999999
244,202010,74.29,77.52,50.52,60.51,262.84000000000003
245,202011,54.59,84.69,136.0,94.64,369.91999999999996
246,202012,126.99,185.22,317.28,261.17,890.6600000000001
