,year_month,year,month,Parana_total
198,201612,2016,12,214.01
199,201701,2017,1,342.49
200,201702,2017,2,105.5
201,201703,2017,3,174.92
202,201704,2017,4,103.39
203,201705,2017,5,111.49
204,201706,2017,6,4.97
205,201707,2017,7,0.0
206,201708,2017,8,35.98
207,201709,2017,9,1.73
208,201710,2017,10,136.12
209,201711,2017,11,195.61
210,201712,2017,12,276.39
211,201801,2018,1,227.42
212,201802,2018,2,122.31
213,201803,2018,3,64.09
214,201804,2018,4,47.02
215,201805,2018,5,13.58
216,201806,2018,6,0.31
217,201807,2018,7,0.0
218,201808,2018,8,21.73
219,201809,2018,9,97.32
220,201810,2018,10,135.6
221,201811,2018,11,216.18
222,201812,2018,12,102.8
223,201901,2019,1,110.64
224,201902,2019,2,219.83
225,201903,2019,3,105.45
226,201904,2019,4,95.17
227,201905,2019,5,35.04
228,201906,2019,6,11.76
229,201907,2019,7,13.45
230,201908,2019,8,55.74
231,201909,2019,9,39.99
232,201910,2019,10,77.54
233,201911,2019,11,144.85
234,201912,2019,12,241.85
235,202001,2020,1,194.71
236,202002,2020,2,205.09
237,202003,2020,3,60.22
238,202004,2020,4,51.87
239,202005,2020,5,15.88
240,202006,2020,6,15.42
241,202007,2020,7,2.12
242,202008,2020,8,3.98
243,202009,2020,9,2.98
244,202010,2020,10,87.05
245,202011,2020,11,51.48
246,202012,2020,12,129.19
