,year_month,accumulate_rioparaiba,accumulate_paraibuna,Paraiba_do_sul_total
179,201505,66.13,49.77,115.9
180,201506,35.35,37.05,72.4
181,201507,21.38,27.22,48.599999999999994
182,201508,19.53,57.04,76.57
183,201509,90.38,101.86,192.24
184,201510,65.11,87.6,152.70999999999998
185,201511,156.16,172.4,328.56
186,201512,234.57,215.54,450.11
187,201601,308.08,281.13,589.21
188,201602,128.95,173.88,302.83
189,201603,126.17,159.72,285.89
190,201604,26.88,9.71,36.59
191,201605,28.0,51.26,79.25999999999999
192,201606,59.89,160.04,219.93
193,201607,3.58,0.81,4.390000000000001
194,201608,20.77,35.24,56.010000000000005
195,201609,62.04,27.4,89.44
196,201610,78.69,125.06,203.75
197,201611,271.29,194.88,466.17
198,201612,248.64,148.15,396.78999999999996
199,201701,132.02,248.04,380.06
200,201702,92.21,31.48,123.69
201,201703,109.18,242.67,351.85
202,201704,73.16,95.68,168.84
203,201705,57.68,73.08,130.76
204,201706,26.93,52.92,79.85
205,201707,24.53,12.51,37.04
206,201708,16.72,66.64,83.36
207,201709,2.87,3.39,6.26
208,201710,64.51,74.4,138.91000000000003
209,201711,174.66,156.6,331.26
210,201712,157.53,150.82,308.35
211,201801,184.38,331.07,515.45
212,201802,167.92,245.06,412.98
213,201803,216.45,231.23,447.67999999999995
214,201804,83.31,92.1,175.41
215,201805,31.28,40.41,71.69
216,201806,16.34,63.83,80.17
217,201807,26.65,18.09,44.739999999999995
218,201808,70.02,103.71,173.73
219,201809,82.43,86.31,168.74
220,201810,90.92,225.57,316.49
221,201811,191.42,260.62,452.03999999999996
222,201812,184.34,215.56,399.9
223,201901,78.57,224.24,302.81
224,201902,166.71,230.55,397.26
225,201903,146.7,220.0,366.7
226,201904,74.13,84.11,158.24
227,201905,63.89,129.72,193.61
228,201906,17.11,30.15,47.26
229,201907,5.37,65.98,71.35000000000001
230,201908,27.3,59.15,86.45
231,201909,62.87,63.91,126.78
232,201910,78.23,55.71,133.94
233,201911,218.53,115.5,334.03
234,201912,265.15,96.29,361.44
235,202001,289.5,135.96,425.46000000000004
236,202002,280.35,238.01,518.36
237,202003,201.18,94.96,296.14
238,202004,64.82,12.21,77.03
239,202005,56.65,23.46,80.11
240,202006,9.69,30.36,40.05
241,202007,7.11,3.22,10.33
242,202008,33.24,33.92,67.16
243,202009,47.35,38.88,86.23
244,202010,88.04,71.01,159.05
245,202011,215.7,110.14,325.84
246,202012,272.45,305.97,578.4200000000001
