,year_month,accumulate_basinp,accumulate_riop,accumulate_simao,accumulate_emborcacao,accumulate_itumbiara,Paranaiba_total
103,200901,223.31,169.41,229.76,219.79,306.04,1148.31
104,200902,171.82,174.24,194.96,174.16,209.56,924.74
105,200903,209.69,224.85,152.51,145.96,185.0,918.01
106,200904,41.9,281.19,73.23,109.15,98.31,603.78
107,200905,26.71,199.67,28.41,48.6,59.53,362.91999999999996
108,200906,24.98,27.83,24.21,35.41,41.12,153.55
109,200907,12.98,19.01,10.32,10.06,12.02,64.39
110,200908,36.7,5.98,28.4,36.51,42.67,150.26
111,200909,121.96,1.78,130.14,79.38,107.05,440.31
112,200910,149.1,76.96,126.68,140.25,143.5,636.49
113,200911,187.04,27.35,199.4,150.85,149.41,714.05
114,200912,283.16,115.98,297.45,242.14,305.04,1243.77
115,201001,201.57,127.04,186.24,178.06,205.4,898.3100000000001
116,201002,146.2,69.11,113.95,76.19,107.58,513.03
117,201003,229.68,168.68,168.08,151.9,177.05,895.3900000000001
118,201004,71.13,144.22,68.52,53.48,63.84,401.19000000000005
119,201005,14.81,33.06,11.37,15.35,20.87,95.46000000000001
120,201006,4.05,24.37,8.35,10.53,12.35,59.650000000000006
121,201007,3.59,3.09,4.63,4.16,3.38,18.849999999999998
122,201008,1.33,0.51,0.12,0.0,0.03,1.99
123,201009,14.5,0.99,16.92,28.89,41.99,103.29
124,201010,145.52,87.84,108.61,93.65,120.93,556.55
125,201011,163.37,46.77,193.49,240.6,247.26,891.49
126,201012,215.91,125.27,218.0,212.68,232.5,1004.3600000000001
127,201101,179.65,133.61,224.07,266.56,253.03,1056.9199999999998
128,201102,208.06,191.64,190.35,77.06,144.23,811.3399999999999
129,201103,432.14,206.2,356.29,346.0,376.2,1716.83
130,201104,86.16,137.01,81.65,68.91,129.82,503.55
131,201105,20.37,90.12,1.72,4.0,1.84,118.05000000000001
132,201106,36.42,9.91,32.85,10.18,18.44,107.80000000000001
133,201107,0.52,13.29,0.18,0.18,0.1,14.269999999999998
134,201108,5.66,9.16,2.59,0.64,1.17,19.22
135,201109,18.26,0.56,5.9,3.27,10.16,38.15
136,201110,133.75,81.6,170.22,188.57,160.08,734.22
137,201111,101.5,59.71,129.07,98.69,115.53,504.5
138,201112,180.2,39.51,211.29,300.23,275.12,1006.35
139,201201,267.74,103.67,246.83,289.9,336.3,1244.44
140,201202,177.66,119.5,166.38,122.56,102.94,689.04
141,201203,189.27,126.84,120.86,126.81,140.85,704.63
142,201204,93.02,44.07,64.24,47.78,80.1,329.21
143,201205,58.08,12.17,29.68,29.31,38.95,168.19
144,201206,82.27,11.18,49.61,55.17,56.75,254.98000000000002
145,201207,3.16,1.22,4.71,4.39,8.07,21.55
146,201208,0.05,0.22,0.32,0.21,0.24,1.04
147,201209,64.16,0.22,52.15,43.17,35.49,195.19
148,201210,64.58,2.76,52.84,64.07,74.15,258.4
149,201211,206.79,57.97,199.11,264.05,202.26,930.1800000000001
150,201212,169.2,58.11,169.79,145.26,135.26,677.62
151,201301,263.02,141.54,267.48,303.62,284.29,1259.95
152,201302,168.67,60.68,154.98,96.82,120.58,601.73
153,201303,209.32,127.46,211.11,194.93,234.98,977.8
154,201304,103.15,116.22,91.61,102.55,109.56,523.09
155,201305,18.1,44.83,33.5,37.25,75.37,209.05
156,201306,42.97,15.92,17.72,18.47,13.69,108.77
157,201307,6.68,9.92,1.74,3.52,1.52,23.38
158,201308,0.05,2.56,0.33,1.56,4.79,9.29
159,201309,21.84,3.66,24.77,30.71,21.64,102.61999999999999
160,201310,117.58,20.29,90.71,131.5,133.21,493.28999999999996
161,201311,106.32,65.77,188.4,162.33,156.25,679.07
162,201312,165.71,118.32,181.03,256.36,210.74,932.16
163,201401,120.9,60.08,105.35,125.7,90.05,502.08000000000004
164,201402,165.34,117.58,128.96,71.69,68.56,552.13
165,201403,194.83,138.71,210.82,111.1,129.66,785.12
166,201404,129.99,133.24,99.56,120.52,110.09,593.4
167,201405,20.16,57.67,3.92,10.62,17.86,110.23
168,201406,8.81,10.39,2.07,2.03,1.44,24.740000000000006
169,201407,89.95,10.38,63.39,26.62,67.15,257.49
170,201408,0.04,5.3,0.18,0.8,0.33,6.6499999999999995
171,201409,66.8,7.47,38.85,14.65,17.08,144.85000000000002
172,201410,57.32,35.02,33.74,38.85,52.77,217.70000000000002
173,201411,202.81,86.28,200.15,204.13,273.83,967.2
174,201412,215.03,64.45,212.42,193.91,171.74,857.55
175,201501,100.09,52.86,104.09,63.86,73.01,393.90999999999997
176,201502,222.74,149.22,189.35,158.64,240.16,960.11
177,201503,223.6,170.33,207.7,167.59,235.17,1004.39
178,201504,112.24,109.29,96.93,78.06,83.66,480.18000000000006
179,201505,94.62,47.95,59.09,55.73,76.32,333.71
180,201506,19.65,14.59,11.64,17.2,25.28,88.36
181,201507,46.26,7.88,10.34,2.41,5.48,72.37
182,201508,11.72,1.92,6.21,2.37,0.48,22.700000000000003
183,201509,48.35,1.71,48.11,69.33,71.78,239.28
184,201510,84.55,8.84,53.27,60.9,54.59,262.15
185,201511,209.39,29.95,214.24,185.99,197.54,837.1099999999999
186,201512,214.36,16.74,175.58,136.51,197.08,740.2700000000001
187,201601,259.59,314.74,333.9,345.74,341.97,1595.9399999999998
188,201602,128.64,63.84,110.63,128.69,126.28,558.08
189,201603,131.13,119.62,176.33,158.97,199.85,785.9000000000001
190,201604,35.7,42.22,9.79,7.24,5.39,100.34
191,201605,60.24,26.17,20.92,11.69,10.39,129.41
192,201606,28.62,8.79,21.6,17.51,41.83,118.35
193,201607,0.32,2.1,0.01,0.03,0.0,2.4599999999999995
194,201608,26.93,0.3,28.12,13.47,20.73,89.55000000000001
195,201609,29.75,13.2,16.45,17.11,13.62,90.13000000000001
196,201610,97.3,22.98,118.09,86.56,121.19,446.12
197,201611,133.17,31.01,186.09,220.57,222.75,793.5899999999999
198,201612,221.07,66.43,171.82,208.42,226.67,894.41
199,201701,269.96,85.95,193.41,146.73,207.09,903.14
200,201702,131.76,170.96,140.07,180.9,150.24,773.9300000000001
201,201703,201.81,149.19,192.67,104.61,110.39,758.67
202,201704,55.43,105.73,107.12,33.24,53.68,355.2
203,201705,59.33,40.64,53.03,59.97,72.92,285.89
204,201706,6.39,13.75,1.14,3.16,5.9,30.340000000000003
205,201707,0.54,10.29,0.0,0.01,0.1,10.939999999999998
206,201708,17.08,5.18,0.79,2.47,0.21,25.729999999999997
207,201709,2.81,0.73,2.59,0.94,0.26,7.33
208,201710,69.79,3.33,54.64,87.47,95.78,311.01
209,201711,252.13,58.16,255.2,225.77,246.39,1037.65
210,201712,256.95,67.92,216.93,205.11,219.4,966.31
211,201801,201.04,97.68,197.01,155.99,186.82,838.54
212,201802,168.88,230.91,162.32,205.59,194.09,961.79
213,201803,128.02,155.91,125.63,121.05,91.91,622.52
214,201804,69.11,123.62,106.66,103.83,111.71,514.93
215,201805,19.03,20.76,17.0,15.55,21.35,93.69
216,201806,0.69,4.41,0.2,4.09,0.55,9.940000000000001
217,201807,0.0,2.99,0.01,1.16,0.07,4.23
218,201808,11.91,2.72,12.12,20.36,17.5,64.61
219,201809,105.28,8.07,56.22,60.89,54.64,285.09999999999997
220,201810,170.08,44.18,171.03,163.29,168.73,717.3100000000001
221,201811,303.75,42.49,286.85,344.27,352.41,1329.77
222,201812,122.77,145.59,161.78,195.75,197.06,822.95
223,201901,146.04,79.13,136.62,72.69,108.77,543.25
224,201902,181.64,178.43,218.63,191.73,228.47,998.9000000000001
225,201903,155.56,187.18,171.67,193.17,171.09,878.67
226,201904,128.34,164.97,123.21,86.46,92.06,595.04
227,201905,61.04,64.45,41.04,58.33,38.86,263.72
228,201906,2.64,6.56,0.45,2.45,1.7,13.799999999999997
229,201907,2.57,8.45,0.75,3.66,0.67,16.1
230,201908,26.53,0.88,3.93,3.15,4.96,39.45
231,201909,33.88,3.23,27.41,20.36,43.79,128.67
232,201910,104.86,19.22,80.25,61.01,92.02,357.35999999999996
233,201911,190.87,23.36,198.62,151.21,165.99,730.0500000000001
234,201912,258.19,31.78,273.37,274.48,278.04,1115.8600000000001
235,202001,200.08,163.66,302.18,352.16,368.76,1386.8400000000001
236,202002,262.32,165.29,316.22,328.15,359.01,1430.99
