date,date,year,month,Total_accumulate
2010-09-01,2010-09-01,2010,9,2122.0800000000004
2010-10-01,2010-10-01,2010,10,4190.53
2010-11-01,2010-11-01,2010,11,6303.189999999999
2010-12-01,2010-12-01,2010,12,9493.679999999998
2011-01-01,2011-01-01,2011,1,9568.74
2011-02-01,2011-02-01,2011,2,5845.259999999998
2011-03-01,2011-03-01,2011,3,10429.859999999999
2011-04-01,2011-04-01,2011,4,3708.75
2011-05-01,2011-05-01,2011,5,666.95
2011-06-01,2011-06-01,2011,6,1194.2
2011-07-01,2011-07-01,2011,7,313.87
2011-08-01,2011-08-01,2011,8,629.8199999999998
2011-09-01,2011-09-01,2011,9,526.15
2011-10-01,2011-10-01,2011,10,6097.420000000001
2011-11-01,2011-11-01,2011,11,5853.360000000001
2011-12-01,2011-12-01,2011,12,7662.78
2012-01-01,2012-01-01,2012,1,10668.349999999999
2012-02-01,2012-02-01,2012,2,4449.42
2012-03-01,2012-03-01,2012,3,4605.68
2012-04-01,2012-04-01,2012,4,2967.0899999999992
2012-05-01,2012-05-01,2012,5,2277.7200000000003
2012-06-01,2012-06-01,2012,6,3687.6799999999994
2012-07-01,2012-07-01,2012,7,823.8299999999999
2012-08-01,2012-08-01,2012,8,247.39
2012-09-01,2012-09-01,2012,9,1892.8100000000002
2012-10-01,2012-10-01,2012,10,2672.07
2012-11-01,2012-11-01,2012,11,7012.53
2012-12-01,2012-12-01,2012,12,6973.3
2013-01-01,2013-01-01,2013,1,9301.18
2013-02-01,2013-02-01,2013,2,5921.389999999999
2013-03-01,2013-03-01,2013,3,7332.299999999999
2013-04-01,2013-04-01,2013,4,3458.5699999999993
2013-05-01,2013-05-01,2013,5,2236.3999999999996
2013-06-01,2013-06-01,2013,6,2201.6400000000003
2013-07-01,2013-07-01,2013,7,1157.5600000000004
2013-08-01,2013-08-01,2013,8,248.85999999999996
2013-09-01,2013-09-01,2013,9,1898.2600000000002
2013-10-01,2013-10-01,2013,10,4396.42
2013-11-01,2013-11-01,2013,11,5367.770000000001
2013-12-01,2013-12-01,2013,12,7912.03
2014-01-01,2014-01-01,2014,1,4723.200000000001
2014-02-01,2014-02-01,2014,2,3768.419999999999
2014-03-01,2014-03-01,2014,3,6279.74
2014-04-01,2014-04-01,2014,4,3789.0099999999998
2014-05-01,2014-05-01,2014,5,1355.53
2014-06-01,2014-06-01,2014,6,685.5199999999999
2014-07-01,2014-07-01,2014,7,1771.6399999999999
2014-08-01,2014-08-01,2014,8,486.09000000000003
2014-09-01,2014-09-01,2014,9,2166.06
2014-10-01,2014-10-01,2014,10,1999.7000000000003
2014-11-01,2014-11-01,2014,11,6769.319999999999
2014-12-01,2014-12-01,2014,12,6526.299999999999
2015-01-01,2015-01-01,2015,1,4159.55
2015-02-01,2015-02-01,2015,2,7379.53
2015-03-01,2015-03-01,2015,3,6747.919999999998
2015-04-01,2015-04-01,2015,4,3105.63
2015-05-01,2015-05-01,2015,5,2757.6899999999996
2015-06-01,2015-06-01,2015,6,993.4399999999998
2015-07-01,2015-07-01,2015,7,1611.6499999999999
2015-08-01,2015-08-01,2015,8,768.25
2015-09-01,2015-09-01,2015,9,3452.8399999999992
2015-10-01,2015-10-01,2015,10,3160.3900000000003
2015-11-01,2015-11-01,2015,11,7634.469999999999
2015-12-01,2015-12-01,2015,12,7456.179999999999
2016-01-01,2016-01-01,2016,1,11823.04
2016-02-01,2016-02-01,2016,2,5736.920000000001
2016-03-01,2016-03-01,2016,3,5803.34
2016-04-01,2016-04-01,2016,4,1311.1100000000001
2016-05-01,2016-05-01,2016,5,2062.85
2016-06-01,2016-06-01,2016,6,2372.56
