Month,Reservoir,Vol_Uti_percent
Sep-11,TRÊS MARIAS,70.39
Oct-11,TRÊS MARIAS,63.68
Nov-11,TRÊS MARIAS,59.63
Dec-11,TRÊS MARIAS,78.23
Jan-12,TRÊS MARIAS,83.92
Feb-12,TRÊS MARIAS,89.22
Mar-12,TRÊS MARIAS,90.14
Apr-12,TRÊS MARIAS,90.26
May-12,TRÊS MARIAS,87.19
Jun-12,TRÊS MARIAS,82.57
Jul-12,TRÊS MARIAS,76.54
Aug-12,TRÊS MARIAS,69.3
Sep-12,TRÊS MARIAS,58.63
Oct-12,TRÊS MARIAS,47.02
Nov-12,TRÊS MARIAS,44.79
Dec-12,TRÊS MARIAS,39.16
Jan-13,TRÊS MARIAS,42.57
Feb-13,TRÊS MARIAS,50.37
Mar-13,TRÊS MARIAS,52.91
Apr-13,TRÊS MARIAS,55.55
May-13,TRÊS MARIAS,51.78
Jun-13,TRÊS MARIAS,48.52
Jul-13,TRÊS MARIAS,42.97
Aug-13,TRÊS MARIAS,36.58
Sep-13,TRÊS MARIAS,30.23
Oct-13,TRÊS MARIAS,24.93
Nov-13,TRÊS MARIAS,21.29
Dec-13,TRÊS MARIAS,29.72
Jan-14,TRÊS MARIAS,27.45
Feb-14,TRÊS MARIAS,21.41
Mar-14,TRÊS MARIAS,18.83
Apr-14,TRÊS MARIAS,18.04
May-14,TRÊS MARIAS,15.3
Jun-14,TRÊS MARIAS,12.13
Jul-14,TRÊS MARIAS,9.44
Aug-14,TRÊS MARIAS,7.25
Sep-14,TRÊS MARIAS,5.06
Oct-14,TRÊS MARIAS,2.91
Nov-14,TRÊS MARIAS,4.26
Dec-14,TRÊS MARIAS,10.16
Jan-15,TRÊS MARIAS,10.51
Feb-15,TRÊS MARIAS,17.67
Mar-15,TRÊS MARIAS,30.82
Apr-15,TRÊS MARIAS,36.73
May-15,TRÊS MARIAS,37.31
Jun-15,TRÊS MARIAS,35.13
Jul-15,TRÊS MARIAS,31.93
Aug-15,TRÊS MARIAS,27.36
Sep-15,TRÊS MARIAS,22.07
Oct-15,TRÊS MARIAS,13.75
Nov-15,TRÊS MARIAS,7.97
Dec-15,TRÊS MARIAS,6.97
Jan-16,TRÊS MARIAS,22.61
Feb-16,TRÊS MARIAS,29.91
Mar-16,TRÊS MARIAS,36.12
Apr-16,TRÊS MARIAS,37.48
May-16,TRÊS MARIAS,36.7
Jun-16,TRÊS MARIAS,35.28
Jul-16,TRÊS MARIAS,31.84
Aug-16,TRÊS MARIAS,27.14
Sep-16,TRÊS MARIAS,21.51
Oct-16,TRÊS MARIAS,15.71
Nov-16,TRÊS MARIAS,16.09
Dec-16,TRÊS MARIAS,24.84
Jan-17,TRÊS MARIAS,28.54
Feb-17,TRÊS MARIAS,32.65
Mar-17,TRÊS MARIAS,33.43
Apr-17,TRÊS MARIAS,31.92
May-17,TRÊS MARIAS,30.32
Jun-17,TRÊS MARIAS,26.92
Jul-17,TRÊS MARIAS,22.73
Aug-17,TRÊS MARIAS,18.31
Sep-17,TRÊS MARIAS,13.43
Oct-17,TRÊS MARIAS,8.18
Nov-17,TRÊS MARIAS,7.79
Dec-17,TRÊS MARIAS,17.75
Jan-18,TRÊS MARIAS,25.94
Feb-18,TRÊS MARIAS,34.88
Mar-18,TRÊS MARIAS,45.65
Apr-18,TRÊS MARIAS,48.34
May-18,TRÊS MARIAS,48.16
Jun-18,TRÊS MARIAS,46.18
Jul-18,TRÊS MARIAS,42.83
Aug-18,TRÊS MARIAS,39
Sep-18,TRÊS MARIAS,35.14
Oct-18,TRÊS MARIAS,32.63
Nov-18,TRÊS MARIAS,42.79
Dec-18,TRÊS MARIAS,52.2
Jan-19,TRÊS MARIAS,57.32
Feb-19,TRÊS MARIAS,63.64
Mar-19,TRÊS MARIAS,76.54
Apr-19,TRÊS MARIAS,81.2
May-19,TRÊS MARIAS,83.21
Jun-19,TRÊS MARIAS,79.53
Jul-19,TRÊS MARIAS,73.96
Aug-19,TRÊS MARIAS,67.67
Sep-19,TRÊS MARIAS,60.86
Oct-19,TRÊS MARIAS,54
Nov-19,TRÊS MARIAS,49.99
Dec-19,TRÊS MARIAS,57.04
Jan-20,TRÊS MARIAS,69.42
Feb-20,TRÊS MARIAS,90.7
Mar-20,TRÊS MARIAS,99.68
Apr-20,TRÊS MARIAS,97.65
May-20,TRÊS MARIAS,95.29
Jun-20,TRÊS MARIAS,91.84
Jul-20,TRÊS MARIAS,84.83999634
Aug-20,TRÊS MARIAS,76.90000153
Sep-20,TRÊS MARIAS,66.70999908
Oct-20,TRÊS MARIAS,55.88999939
Nov-20,TRÊS MARIAS,51.77000046
Dec-20,TRÊS MARIAS,48.77000046
Jan-21,TRÊS MARIAS,56.29999924
Feb-21,TRÊS MARIAS,66.83000183
Mar-21,TRÊS MARIAS,72.30999756
Apr-21,TRÊS MARIAS,70.31999969
May-21,TRÊS MARIAS,65.91999817
Jun-21,TRÊS MARIAS,61.13000107
Jul-21,TRÊS MARIAS,57.38999939
Jan-99,TRÊS IRMÃOS,66.91
Feb-99,TRÊS IRMÃOS,78.03
Mar-99,TRÊS IRMÃOS,86.36
Apr-99,TRÊS IRMÃOS,87.83
May-99,TRÊS IRMÃOS,81
Jun-99,TRÊS IRMÃOS,61.34
Jul-99,TRÊS IRMÃOS,45.94
Aug-99,TRÊS IRMÃOS,33.91
Sep-99,TRÊS IRMÃOS,32.16
Oct-99,TRÊS IRMÃOS,14.66
Nov-99,TRÊS IRMÃOS,1.26
Dec-99,TRÊS IRMÃOS,9.83
Jan-00,TRÊS IRMÃOS,20.48
Feb-00,TRÊS IRMÃOS,55.61
Mar-00,TRÊS IRMÃOS,90.42
Apr-00,TRÊS IRMÃOS,96.93
May-00,TRÊS IRMÃOS,88.48
Jun-00,TRÊS IRMÃOS,77.17
Jul-00,TRÊS IRMÃOS,55.41
Aug-00,TRÊS IRMÃOS,41.18
Sep-00,TRÊS IRMÃOS,35.67
Oct-00,TRÊS IRMÃOS,28.3
Nov-00,TRÊS IRMÃOS,23.89
Dec-00,TRÊS IRMÃOS,36.06
Jan-01,TRÊS IRMÃOS,33.91
Feb-01,TRÊS IRMÃOS,36.84
Mar-01,TRÊS IRMÃOS,26.76
Apr-01,TRÊS IRMÃOS,34.89
May-01,TRÊS IRMÃOS,40.19
Jun-01,TRÊS IRMÃOS,30.81
Jul-01,TRÊS IRMÃOS,31.78
Aug-01,TRÊS IRMÃOS,31.2
Sep-01,TRÊS IRMÃOS,29.65
Oct-01,TRÊS IRMÃOS,33.69
Nov-01,TRÊS IRMÃOS,48.95
Dec-01,TRÊS IRMÃOS,76.86
Jan-02,TRÊS IRMÃOS,91.28
Feb-02,TRÊS IRMÃOS,94.54
Mar-02,TRÊS IRMÃOS,95.19
Apr-02,TRÊS IRMÃOS,91.5
May-02,TRÊS IRMÃOS,93.67
Jun-02,TRÊS IRMÃOS,78.02
Jul-02,TRÊS IRMÃOS,64.43
Aug-02,TRÊS IRMÃOS,65.88
Sep-02,TRÊS IRMÃOS,61.13
Oct-02,TRÊS IRMÃOS,57.24
Nov-02,TRÊS IRMÃOS,58.27
Dec-02,TRÊS IRMÃOS,47.15
Jan-03,TRÊS IRMÃOS,73.38
Feb-03,TRÊS IRMÃOS,84.61
Mar-03,TRÊS IRMÃOS,93.67
Apr-03,TRÊS IRMÃOS,94.76
May-03,TRÊS IRMÃOS,91.07
Jun-03,TRÊS IRMÃOS,93.02
Jul-03,TRÊS IRMÃOS,87.4
Aug-03,TRÊS IRMÃOS,74.22
Sep-03,TRÊS IRMÃOS,64.22
Oct-03,TRÊS IRMÃOS,48.95
Nov-03,TRÊS IRMÃOS,50.76
Dec-03,TRÊS IRMÃOS,48.95
Jan-04,TRÊS IRMÃOS,64.02
Feb-04,TRÊS IRMÃOS,77.38
Mar-04,TRÊS IRMÃOS,94.1
Apr-04,TRÊS IRMÃOS,99.56
May-04,TRÊS IRMÃOS,99.56
Jun-04,TRÊS IRMÃOS,90.2
Jul-04,TRÊS IRMÃOS,87.62
Aug-04,TRÊS IRMÃOS,79.08
Sep-04,TRÊS IRMÃOS,58.67
Oct-04,TRÊS IRMÃOS,58.67
Nov-04,TRÊS IRMÃOS,56.43
Dec-04,TRÊS IRMÃOS,56.23
Jan-05,TRÊS IRMÃOS,73.59
Feb-05,TRÊS IRMÃOS,63.19
Mar-05,TRÊS IRMÃOS,88.69
Apr-05,TRÊS IRMÃOS,96.94
May-05,TRÊS IRMÃOS,95.85
Jun-05,TRÊS IRMÃOS,87.19
Jul-05,TRÊS IRMÃOS,77.6
Aug-05,TRÊS IRMÃOS,56.84
Sep-05,TRÊS IRMÃOS,54.19
Oct-05,TRÊS IRMÃOS,52.17
Nov-05,TRÊS IRMÃOS,46.35
Dec-05,TRÊS IRMÃOS,61.96
Jan-06,TRÊS IRMÃOS,55.62
Feb-06,TRÊS IRMÃOS,77.6
Mar-06,TRÊS IRMÃOS,82.91
Apr-06,TRÊS IRMÃOS,98.9
May-06,TRÊS IRMÃOS,94.1
Jun-06,TRÊS IRMÃOS,68.78
Jul-06,TRÊS IRMÃOS,58.88
Aug-06,TRÊS IRMÃOS,53.99
Sep-06,TRÊS IRMÃOS,48.35
Oct-06,TRÊS IRMÃOS,66.5
Nov-06,TRÊS IRMÃOS,50.96
Dec-06,TRÊS IRMÃOS,59.08
Jan-07,TRÊS IRMÃOS,70.87
Feb-07,TRÊS IRMÃOS,67.33
Mar-07,TRÊS IRMÃOS,97.81
Apr-07,TRÊS IRMÃOS,95.63
May-07,TRÊS IRMÃOS,94.54
Jun-07,TRÊS IRMÃOS,87.4
Jul-07,TRÊS IRMÃOS,78.44
Aug-07,TRÊS IRMÃOS,67.95
Sep-07,TRÊS IRMÃOS,48.55
Oct-07,TRÊS IRMÃOS,57.65
Nov-07,TRÊS IRMÃOS,52.58
Dec-07,TRÊS IRMÃOS,52.78
Jan-08,TRÊS IRMÃOS,73.59
Feb-08,TRÊS IRMÃOS,81.63
Mar-08,TRÊS IRMÃOS,98.69
Apr-08,TRÊS IRMÃOS,99.56
May-08,TRÊS IRMÃOS,95.63
Jun-08,TRÊS IRMÃOS,88.05
Jul-08,TRÊS IRMÃOS,67.95
Aug-08,TRÊS IRMÃOS,50.76
Sep-08,TRÊS IRMÃOS,52.17
Oct-08,TRÊS IRMÃOS,53.18
Nov-08,TRÊS IRMÃOS,52.17
Dec-08,TRÊS IRMÃOS,63.4
Jan-09,TRÊS IRMÃOS,57.45
Feb-09,TRÊS IRMÃOS,82.05
Mar-09,TRÊS IRMÃOS,93.67
Apr-09,TRÊS IRMÃOS,94.54
May-09,TRÊS IRMÃOS,74.64
Jun-09,TRÊS IRMÃOS,59.7
Jul-09,TRÊS IRMÃOS,61.13
Aug-09,TRÊS IRMÃOS,69.83
Sep-09,TRÊS IRMÃOS,74.85
Oct-09,TRÊS IRMÃOS,65.67
Nov-09,TRÊS IRMÃOS,55.62
Dec-09,TRÊS IRMÃOS,62.16
Jan-10,TRÊS IRMÃOS,66.91
Feb-10,TRÊS IRMÃOS,63.4
Mar-10,TRÊS IRMÃOS,102.64
Apr-10,TRÊS IRMÃOS,90.64
May-10,TRÊS IRMÃOS,82.05
Jun-10,TRÊS IRMÃOS,68.58
Jul-10,TRÊS IRMÃOS,71.5
Aug-10,TRÊS IRMÃOS,57.04
Sep-10,TRÊS IRMÃOS,60.72
Oct-10,TRÊS IRMÃOS,74.22
Nov-10,TRÊS IRMÃOS,58.47
Dec-10,TRÊS IRMÃOS,64.64
Jan-11,TRÊS IRMÃOS,80.35
Feb-11,TRÊS IRMÃOS,87.4
Mar-11,TRÊS IRMÃOS,87.19
Apr-11,TRÊS IRMÃOS,96.72
May-11,TRÊS IRMÃOS,94.76
Jun-11,TRÊS IRMÃOS,89.13
Jul-11,TRÊS IRMÃOS,75.28
Aug-11,TRÊS IRMÃOS,54.4
Sep-11,TRÊS IRMÃOS,63.81
Oct-11,TRÊS IRMÃOS,60.31
Nov-11,TRÊS IRMÃOS,68.37
Dec-11,TRÊS IRMÃOS,54.6
Jan-12,TRÊS IRMÃOS,62.16
Feb-12,TRÊS IRMÃOS,72.75
Mar-12,TRÊS IRMÃOS,72.12
Apr-12,TRÊS IRMÃOS,66.29
May-12,TRÊS IRMÃOS,76.54
Jun-12,TRÊS IRMÃOS,93.45
Jul-12,TRÊS IRMÃOS,83.12
Aug-12,TRÊS IRMÃOS,58.47
