Month,Reservoir,Vol_Uti_percent
Mar-14,RONDON II,105.7
Apr-14,RONDON II,98.27
May-14,RONDON II,90.61
Jun-14,RONDON II,83.44
Jul-14,RONDON II,78.01
Aug-14,RONDON II,58.1
Sep-14,RONDON II,37.98
Oct-14,RONDON II,21.12
Nov-14,RONDON II,50.16
Dec-14,RONDON II,62.78
Jan-15,RONDON II,83.44
Feb-15,RONDON II,101.36
Mar-15,RONDON II,104.88
Apr-15,RONDON II,103.8
May-15,RONDON II,92.83
Jun-15,RONDON II,88.88
Jul-15,RONDON II,74.39
Aug-15,RONDON II,43.38
Sep-15,RONDON II,6.27
Oct-15,RONDON II,16.17
Nov-15,RONDON II,7.26
Dec-15,RONDON II,15.84
Jan-16,RONDON II,30.68
Feb-16,RONDON II,62.34
Mar-16,RONDON II,100.54
Apr-16,RONDON II,90.11
May-16,RONDON II,90.61
Jun-16,RONDON II,75.53
Jul-16,RONDON II,53.41
Aug-16,RONDON II,30.02
Sep-16,RONDON II,14.19
Oct-16,RONDON II,12.54
Nov-16,RONDON II,13.2
Dec-16,RONDON II,44.77
Jan-17,RONDON II,60.33
Feb-17,RONDON II,90.11
Mar-17,RONDON II,104.88
Apr-17,RONDON II,97.78
May-17,RONDON II,97.03
Jun-17,RONDON II,79.74
Jul-17,RONDON II,56.31
Aug-17,RONDON II,35.59
Sep-17,RONDON II,19.47
Oct-17,RONDON II,5.94
Nov-17,RONDON II,9.57
Dec-17,RONDON II,11.88
Jan-18,RONDON II,38.58
Feb-18,RONDON II,47.57
Mar-18,RONDON II,89.13
Apr-18,RONDON II,100.27
May-18,RONDON II,94.07
Jun-18,RONDON II,86.41
Jul-18,RONDON II,69.71
Aug-18,RONDON II,56.53
Sep-18,RONDON II,39.98
Oct-18,RONDON II,39.58
Nov-18,RONDON II,35.79
Dec-18,RONDON II,37.19
Jan-19,RONDON II,63.45
Feb-19,RONDON II,91.6
Mar-19,RONDON II,97.03
Apr-19,RONDON II,100.54
May-19,RONDON II,84.92
Jun-19,RONDON II,72.38
Jul-19,RONDON II,51.96
Aug-19,RONDON II,32.33
Sep-19,RONDON II,37.79
Oct-19,RONDON II,32.66
Nov-19,RONDON II,25.07
Dec-19,RONDON II,36.99
Jan-20,RONDON II,61.67
Feb-20,RONDON II,107.05
Mar-20,RONDON II,105.42
Apr-20,RONDON II,99.26
May-20,RONDON II,88.38
Jun-20,RONDON II,77.76
Jul-20,RONDON II,60.33000183
Aug-20,RONDON II,35.99000168
Sep-20,RONDON II,24.73999977
Oct-20,RONDON II,21.45000076
Nov-20,RONDON II,15.84000015
Dec-20,RONDON II,27.37999916
Jan-21,RONDON II,39.58000183
Feb-21,RONDON II,81.95999908
Mar-21,RONDON II,100.8099976
Apr-21,RONDON II,100
May-21,RONDON II,92.83000183
Jun-21,RONDON II,78.25
Jul-21,RONDON II,65.01999664
Aug-09,RETIRO BAIXO,0
Jan-10,RETIRO BAIXO,0
Feb-10,RETIRO BAIXO,63.54
Mar-10,RETIRO BAIXO,78.45
Apr-10,RETIRO BAIXO,49.9
May-10,RETIRO BAIXO,48.4
Jun-10,RETIRO BAIXO,52.91
Jul-10,RETIRO BAIXO,46.9
Aug-10,RETIRO BAIXO,4.7
Sep-10,RETIRO BAIXO,0
Oct-10,RETIRO BAIXO,44.41
Nov-10,RETIRO BAIXO,69.67
Dec-10,RETIRO BAIXO,72.76
Jan-11,RETIRO BAIXO,84.18
Feb-11,RETIRO BAIXO,40.94
Mar-11,RETIRO BAIXO,92.05
Apr-11,RETIRO BAIXO,86.79
May-11,RETIRO BAIXO,97.34
Jun-11,RETIRO BAIXO,94.69
Jul-11,RETIRO BAIXO,87.32
Aug-11,RETIRO BAIXO,65.58
Sep-11,RETIRO BAIXO,0.94
Oct-11,RETIRO BAIXO,5.17
Nov-11,RETIRO BAIXO,66.09
Dec-11,RETIRO BAIXO,102.67
Jan-12,RETIRO BAIXO,102.13
Feb-12,RETIRO BAIXO,16.1
Mar-12,RETIRO BAIXO,100
Apr-12,RETIRO BAIXO,91
May-12,RETIRO BAIXO,104.27
Jun-12,RETIRO BAIXO,103.73
Jul-12,RETIRO BAIXO,101.6
Aug-12,RETIRO BAIXO,101.6
Sep-12,RETIRO BAIXO,52.41
Oct-12,RETIRO BAIXO,14.67
Nov-12,RETIRO BAIXO,15.15
Dec-12,RETIRO BAIXO,5.64
Jan-13,RETIRO BAIXO,41.43
Feb-13,RETIRO BAIXO,78.97
Mar-13,RETIRO BAIXO,81.57
Apr-13,RETIRO BAIXO,99.47
May-13,RETIRO BAIXO,94.69
Jun-13,RETIRO BAIXO,97.87
Jul-13,RETIRO BAIXO,83.13
Aug-13,RETIRO BAIXO,7.06
Sep-13,RETIRO BAIXO,0
Oct-13,RETIRO BAIXO,12.76
Nov-13,RETIRO BAIXO,10.85
Dec-13,RETIRO BAIXO,105.34
Jan-14,RETIRO BAIXO,3.76
Feb-14,RETIRO BAIXO,2.35
Mar-14,RETIRO BAIXO,18.98
Apr-14,RETIRO BAIXO,32.08
May-14,RETIRO BAIXO,7.06
Jun-14,RETIRO BAIXO,0
Jul-14,RETIRO BAIXO,0
Aug-14,RETIRO BAIXO,0
Sep-14,RETIRO BAIXO,0
Oct-14,RETIRO BAIXO,4.7
Nov-14,RETIRO BAIXO,19.46
Dec-14,RETIRO BAIXO,18.02
Jan-15,RETIRO BAIXO,18.5
Feb-15,RETIRO BAIXO,47.4
Mar-15,RETIRO BAIXO,93.63
Apr-15,RETIRO BAIXO,108.56
May-15,RETIRO BAIXO,92.58
Jun-15,RETIRO BAIXO,26.71
Jul-15,RETIRO BAIXO,0
Aug-15,RETIRO BAIXO,0
Sep-15,RETIRO BAIXO,2.82
Oct-15,RETIRO BAIXO,0
Nov-15,RETIRO BAIXO,11.8
Dec-15,RETIRO BAIXO,19.46
Jan-16,RETIRO BAIXO,75.34
Feb-16,RETIRO BAIXO,24.77
Mar-16,RETIRO BAIXO,98.94
Apr-16,RETIRO BAIXO,48.4
May-16,RETIRO BAIXO,2.35
Jun-16,RETIRO BAIXO,17.54
Jul-16,RETIRO BAIXO,16.1
Aug-16,RETIRO BAIXO,10.38
Sep-16,RETIRO BAIXO,8.48
Oct-16,RETIRO BAIXO,6.11
Nov-16,RETIRO BAIXO,19.46
Dec-16,RETIRO BAIXO,26.23
Jan-17,RETIRO BAIXO,17.54
Feb-17,RETIRO BAIXO,6.59
Mar-17,RETIRO BAIXO,1.41
Apr-17,RETIRO BAIXO,3.76
May-17,RETIRO BAIXO,0
Jun-17,RETIRO BAIXO,0
Jul-17,RETIRO BAIXO,0
Aug-17,RETIRO BAIXO,0
Sep-17,RETIRO BAIXO,0
Oct-17,RETIRO BAIXO,0
Nov-17,RETIRO BAIXO,8.01
Dec-17,RETIRO BAIXO,60.99
Jan-18,RETIRO BAIXO,-21.67
Feb-18,RETIRO BAIXO,108.02
Mar-18,RETIRO BAIXO,105.34
Apr-18,RETIRO BAIXO,18.02
May-18,RETIRO BAIXO,12.76
Jun-18,RETIRO BAIXO,-9.3
Jul-18,RETIRO BAIXO,-5.13
Aug-18,RETIRO BAIXO,-11.15
Sep-18,RETIRO BAIXO,-16.66
Oct-18,RETIRO BAIXO,3.76
Nov-18,RETIRO BAIXO,29.15
Dec-18,RETIRO BAIXO,60.49
Jan-19,RETIRO BAIXO,0
Feb-19,RETIRO BAIXO,19.46
Mar-19,RETIRO BAIXO,85.22
Apr-19,RETIRO BAIXO,76.89
May-19,RETIRO BAIXO,67.11
Jun-19,RETIRO BAIXO,30.61
Jul-19,RETIRO BAIXO,10.76
Aug-19,RETIRO BAIXO,10.19
Sep-19,RETIRO BAIXO,-22.22
Oct-19,RETIRO BAIXO,-14.83
Nov-19,RETIRO BAIXO,-13.91
Dec-19,RETIRO BAIXO,12.76
Jan-20,RETIRO BAIXO,101.6
Feb-20,RETIRO BAIXO,94.69
Mar-20,RETIRO BAIXO,100
Apr-20,RETIRO BAIXO,110.71
May-20,RETIRO BAIXO,61.2
Jun-20,RETIRO BAIXO,51.9
Jul-20,RETIRO BAIXO,19.55999947
Aug-20,RETIRO BAIXO,31.20000076
Sep-20,RETIRO BAIXO,5.44999981
Oct-20,RETIRO BAIXO,40.93999863
Nov-20,RETIRO BAIXO,37.97000122
Dec-20,RETIRO BAIXO,41.43000031
Jan-21,RETIRO BAIXO,84.38999939
Feb-21,RETIRO BAIXO,92.58000183
Mar-21,RETIRO BAIXO,105.8799973
Apr-21,RETIRO BAIXO,60.08000183
May-21,RETIRO BAIXO,72.44999695
Jun-21,RETIRO BAIXO,24.87000084
Jul-21,RETIRO BAIXO,25.73999977
Jul-03,QUEIMADO,0
Aug-03,QUEIMADO,0
Sep-03,QUEIMADO,6.48
Oct-03,QUEIMADO,11.35
Nov-03,QUEIMADO,20.38
Dec-03,QUEIMADO,33.99
Jan-04,QUEIMADO,82.48
Feb-04,QUEIMADO,95.17
Mar-04,QUEIMADO,93.29
Apr-04,QUEIMADO,95.17
May-04,QUEIMADO,99.08
Jun-04,QUEIMADO,100.46
Jul-04,QUEIMADO,98.16
Aug-04,QUEIMADO,90.82
Sep-04,QUEIMADO,78.89
Oct-04,QUEIMADO,60.22
Nov-04,QUEIMADO,46.98
Dec-04,QUEIMADO,33.83
Jan-05,QUEIMADO,45.1
Feb-05,QUEIMADO,75.15
Mar-05,QUEIMADO,83.56
Apr-05,QUEIMADO,80.18
May-05,QUEIMADO,89.95
Jun-05,QUEIMADO,97.16
Jul-05,QUEIMADO,88.82
Aug-05,QUEIMADO,71.81
Sep-05,QUEIMADO,53.09
Oct-05,QUEIMADO,36.82
Nov-05,QUEIMADO,39.42
Dec-05,QUEIMADO,56.53
Jan-06,QUEIMADO,46.25
Feb-06,QUEIMADO,64.32
Mar-06,QUEIMADO,89.51
Apr-06,QUEIMADO,94.09
May-06,QUEIMADO,92.67
Jun-06,QUEIMADO,87.87
Jul-06,QUEIMADO,75.54
Aug-06,QUEIMADO,53.42
Sep-06,QUEIMADO,43.44
Oct-06,QUEIMADO,48.39
Nov-06,QUEIMADO,47.77
Dec-06,QUEIMADO,47.22
Jan-07,QUEIMADO,60.5
Feb-07,QUEIMADO,78.97
Mar-07,QUEIMADO,79.94
Apr-07,QUEIMADO,84.65
May-07,QUEIMADO,75.07
Jun-07,QUEIMADO,70.9
Jul-07,QUEIMADO,60.36
Aug-07,QUEIMADO,46.31
Sep-07,QUEIMADO,33.1
Oct-07,QUEIMADO,33.88
Nov-07,QUEIMADO,38.69
Dec-07,QUEIMADO,51.86
Jan-08,QUEIMADO,64.68
Feb-08,QUEIMADO,79.29
Mar-08,QUEIMADO,85.57
Apr-08,QUEIMADO,98.34
May-08,QUEIMADO,94.36
Jun-08,QUEIMADO,83.98
Jul-08,QUEIMADO,71.74
Aug-08,QUEIMADO,57.2
Sep-08,QUEIMADO,49.2
Oct-08,QUEIMADO,35.1
Nov-08,QUEIMADO,40.66
Dec-08,QUEIMADO,59.11
Jan-09,QUEIMADO,73.2
Feb-09,QUEIMADO,76.96
Mar-09,QUEIMADO,80.67
Apr-09,QUEIMADO,99.82
May-09,QUEIMADO,97.7
Jun-09,QUEIMADO,98.16
Jul-09,QUEIMADO,90.12
Aug-09,QUEIMADO,77.76
Sep-09,QUEIMADO,64.68
Oct-09,QUEIMADO,56.73
Nov-09,QUEIMADO,54.4
Dec-09,QUEIMADO,67.68
Jan-10,QUEIMADO,74.75
Feb-10,QUEIMADO,69.17
Mar-10,QUEIMADO,78.4
Apr-10,QUEIMADO,80.18
May-10,QUEIMADO,76.49
Jun-10,QUEIMADO,70.83
Jul-10,QUEIMADO,64.54
Aug-10,QUEIMADO,60.5
Sep-10,QUEIMADO,53.48
Oct-10,QUEIMADO,49.58
Nov-10,QUEIMADO,48.89
Dec-10,QUEIMADO,53.29
Jan-11,QUEIMADO,75.78
Feb-11,QUEIMADO,76.25
Mar-11,QUEIMADO,93.02
Apr-11,QUEIMADO,93.91
May-11,QUEIMADO,94.63
Jun-11,QUEIMADO,89.69
Jul-11,QUEIMADO,78.48
Aug-11,QUEIMADO,64.32
Sep-11,QUEIMADO,51.8
Oct-11,QUEIMADO,49.51
Nov-11,QUEIMADO,49.27
Dec-11,QUEIMADO,65.04
Jan-12,QUEIMADO,74.13
Feb-12,QUEIMADO,78
Mar-12,QUEIMADO,91.78
Apr-12,QUEIMADO,90.99
May-12,QUEIMADO,88.13
Jun-12,QUEIMADO,86.42
Jul-12,QUEIMADO,78.8
Aug-12,QUEIMADO,72.27
Sep-12,QUEIMADO,57.07
Oct-12,QUEIMADO,38.69
Nov-12,QUEIMADO,33.2
Dec-12,QUEIMADO,31.21
Jan-13,QUEIMADO,50.46
Feb-13,QUEIMADO,71.05
Mar-13,QUEIMADO,92.4
Apr-13,QUEIMADO,95.61
May-13,QUEIMADO,94.72
Jun-13,QUEIMADO,97.24
Jul-13,QUEIMADO,94.63
Aug-13,QUEIMADO,88.3
Sep-13,QUEIMADO,66.72
Oct-13,QUEIMADO,50.02
Nov-13,QUEIMADO,45.94
Dec-13,QUEIMADO,56.6
Jan-14,QUEIMADO,60.5
Feb-14,QUEIMADO,63.6
Mar-14,QUEIMADO,87.1
Apr-14,QUEIMADO,93.2
May-14,QUEIMADO,90.03
Jun-14,QUEIMADO,82.4
Jul-14,QUEIMADO,72.89
Aug-14,QUEIMADO,57.41
Sep-14,QUEIMADO,34.51
Oct-14,QUEIMADO,16.69
Nov-14,QUEIMADO,6.52
Dec-14,QUEIMADO,8.71
Jan-15,QUEIMADO,7.43
Feb-15,QUEIMADO,16.01
Mar-15,QUEIMADO,38.36
Apr-15,QUEIMADO,56.33
May-15,QUEIMADO,56.26
Jun-15,QUEIMADO,55.86
Jul-15,QUEIMADO,55.86
Aug-15,QUEIMADO,54.33
Sep-15,QUEIMADO,52.57
Oct-15,QUEIMADO,44.86
Nov-15,QUEIMADO,38.58
Dec-15,QUEIMADO,30.35
Jan-16,QUEIMADO,45.58
Feb-16,QUEIMADO,53.94
Mar-16,QUEIMADO,59.6
Apr-16,QUEIMADO,51.54
May-16,QUEIMADO,45.04
Jun-16,QUEIMADO,36.44
Jul-16,QUEIMADO,27.32
Aug-16,QUEIMADO,19.28
Sep-16,QUEIMADO,13.3
Oct-16,QUEIMADO,9.36
Nov-16,QUEIMADO,13.3
Dec-16,QUEIMADO,25.2
Jan-17,QUEIMADO,32.38
Feb-17,QUEIMADO,49.51
Mar-17,QUEIMADO,62.89
Apr-17,QUEIMADO,71.97
May-17,QUEIMADO,70.9
Jun-17,QUEIMADO,66.57
Jul-17,QUEIMADO,60.15
Aug-17,QUEIMADO,52.51
Sep-17,QUEIMADO,43.97
Oct-17,QUEIMADO,34.2
Nov-17,QUEIMADO,31.87
Dec-17,QUEIMADO,43.56
Jan-18,QUEIMADO,53.09
Feb-18,QUEIMADO,68.94
Mar-18,QUEIMADO,85.07
Apr-18,QUEIMADO,96.25
May-18,QUEIMADO,93.73
Jun-18,QUEIMADO,85.91
Jul-18,QUEIMADO,76.25
Aug-18,QUEIMADO,70.22
Sep-18,QUEIMADO,64.03
Oct-18,QUEIMADO,51.1
Nov-18,QUEIMADO,49.45
Dec-18,QUEIMADO,43.15
Jan-19,QUEIMADO,36.93
Feb-19,QUEIMADO,43.56
Mar-19,QUEIMADO,69.24
Apr-19,QUEIMADO,97.52
May-19,QUEIMADO,99.26
Jun-19,QUEIMADO,93.73
Jul-19,QUEIMADO,83.88
Aug-19,QUEIMADO,71.37
Sep-19,QUEIMADO,55.86
Oct-19,QUEIMADO,35.77
Nov-19,QUEIMADO,23.38
Dec-19,QUEIMADO,27.94
Jan-20,QUEIMADO,35.53
Feb-20,QUEIMADO,55.17
Mar-20,QUEIMADO,95.56
Apr-20,QUEIMADO,96.56
May-20,QUEIMADO,96.85
Jun-20,QUEIMADO,89.55
Jul-20,QUEIMADO,75.79000092
Aug-20,QUEIMADO,59.63999939
Sep-20,QUEIMADO,40.45999908
Oct-20,QUEIMADO,19.29999924
Nov-20,QUEIMADO,11.82999992
Dec-20,QUEIMADO,20.29000092
Jan-21,QUEIMADO,31.20000076
Feb-21,QUEIMADO,56.83000183
Mar-21,QUEIMADO,81.94999695
Apr-21,QUEIMADO,82.55999756
May-21,QUEIMADO,78.59999847
Jun-21,QUEIMADO,71.88999939
Jul-21,QUEIMADO,69.98999786
Jan-99,PROMISSÃO,82.5
Feb-99,PROMISSÃO,96.5
Mar-99,PROMISSÃO,95.51
Apr-99,PROMISSÃO,89.11
May-99,PROMISSÃO,77.14
Jun-99,PROMISSÃO,74.75
Jul-99,PROMISSÃO,67.54
Aug-99,PROMISSÃO,50.31
Sep-99,PROMISSÃO,39.2
Oct-99,PROMISSÃO,21.76
Nov-99,PROMISSÃO,10.01
Dec-99,PROMISSÃO,17.74
Jan-00,PROMISSÃO,26.69
Feb-00,PROMISSÃO,57.34
Mar-00,PROMISSÃO,88.86
Apr-00,PROMISSÃO,79.34
May-00,PROMISSÃO,60.89
Jun-00,PROMISSÃO,50.08
Jul-00,PROMISSÃO,53.12
Aug-00,PROMISSÃO,41.73
Sep-00,PROMISSÃO,48.21
Oct-00,PROMISSÃO,32.58
Nov-00,PROMISSÃO,38.06
Dec-00,PROMISSÃO,47.75
Jan-01,PROMISSÃO,74.75
Feb-01,PROMISSÃO,97.51
Mar-01,PROMISSÃO,86.9
Apr-01,PROMISSÃO,57.34
May-01,PROMISSÃO,37.83
Jun-01,PROMISSÃO,30.76
Jul-01,PROMISSÃO,32.12
Aug-01,PROMISSÃO,32.13
Sep-01,PROMISSÃO,28.96
Oct-01,PROMISSÃO,33.25
Nov-01,PROMISSÃO,36.98
Dec-01,PROMISSÃO,74.51
Jan-02,PROMISSÃO,94.54
Feb-02,PROMISSÃO,99
Mar-02,PROMISSÃO,97.02
Apr-02,PROMISSÃO,94.29
May-02,PROMISSÃO,92.81
Jun-02,PROMISSÃO,86.9
Jul-02,PROMISSÃO,65.88
Aug-02,PROMISSÃO,40.81
Sep-02,PROMISSÃO,29.4
Oct-02,PROMISSÃO,31.22
Nov-02,PROMISSÃO,38.29
Dec-02,PROMISSÃO,52.65
Jan-03,PROMISSÃO,96.27
Feb-03,PROMISSÃO,95.28
Mar-03,PROMISSÃO,93.55
Apr-03,PROMISSÃO,98.01
May-03,PROMISSÃO,95.03
Jun-03,PROMISSÃO,88.38
Jul-03,PROMISSÃO,80.8
Aug-03,PROMISSÃO,66.35
Sep-03,PROMISSÃO,43.58
Oct-03,PROMISSÃO,35.09
Nov-03,PROMISSÃO,29.18
Dec-03,PROMISSÃO,35.54
Jan-04,PROMISSÃO,57.35
Feb-04,PROMISSÃO,85.68
Mar-04,PROMISSÃO,72.1
Apr-04,PROMISSÃO,60.18
May-04,PROMISSÃO,70.66
Jun-04,PROMISSÃO,96.02
Jul-04,PROMISSÃO,93.55
Aug-04,PROMISSÃO,71.38
Sep-04,PROMISSÃO,39.43
Oct-04,PROMISSÃO,36.68
Nov-04,PROMISSÃO,47.29
Dec-04,PROMISSÃO,50.55
Jan-05,PROMISSÃO,80.8
Feb-05,PROMISSÃO,82.51
Mar-05,PROMISSÃO,95.53
Apr-05,PROMISSÃO,89.11
May-05,PROMISSÃO,99.5
Jun-05,PROMISSÃO,94.78
Jul-05,PROMISSÃO,77.16
Aug-05,PROMISSÃO,59
Sep-05,PROMISSÃO,53.35
Oct-05,PROMISSÃO,55.46
Nov-05,PROMISSÃO,43.81
Dec-05,PROMISSÃO,39.43
Jan-06,PROMISSÃO,63.5
Feb-06,PROMISSÃO,88.38
Mar-06,PROMISSÃO,98.01
Apr-06,PROMISSÃO,87.88
May-06,PROMISSÃO,75.71
Jun-06,PROMISSÃO,64.21
Jul-06,PROMISSÃO,60.65
Aug-06,PROMISSÃO,53.82
Sep-06,PROMISSÃO,46.36
Oct-06,PROMISSÃO,38.06
Nov-06,PROMISSÃO,31.67
Dec-06,PROMISSÃO,52.18
Jan-07,PROMISSÃO,84.21
Feb-07,PROMISSÃO,97.76
Mar-07,PROMISSÃO,99.5
Apr-07,PROMISSÃO,95.53
May-07,PROMISSÃO,99
Jun-07,PROMISSÃO,96.02
Jul-07,PROMISSÃO,96.77
Aug-07,PROMISSÃO,62.55
Sep-07,PROMISSÃO,52.41
Oct-07,PROMISSÃO,40.35
Nov-07,PROMISSÃO,38.98
Dec-07,PROMISSÃO,49.85
Jan-08,PROMISSÃO,66.35
Feb-08,PROMISSÃO,98.26
Mar-08,PROMISSÃO,98.01
Apr-08,PROMISSÃO,96.02
May-08,PROMISSÃO,96.27
Jun-08,PROMISSÃO,88.38
Jul-08,PROMISSÃO,75.47
Aug-08,PROMISSÃO,63.97
Sep-08,PROMISSÃO,51.25
Oct-08,PROMISSÃO,42.89
Nov-08,PROMISSÃO,40.12
Dec-08,PROMISSÃO,41.04
Jan-09,PROMISSÃO,59.47
Feb-09,PROMISSÃO,92.56
Mar-09,PROMISSÃO,98.01
Apr-09,PROMISSÃO,94.54
May-09,PROMISSÃO,91.57
Jun-09,PROMISSÃO,91.82
Jul-09,PROMISSÃO,82.99
Aug-09,PROMISSÃO,85.44
Sep-09,PROMISSÃO,91.82
Oct-09,PROMISSÃO,75.95
Nov-09,PROMISSÃO,64.21
Dec-09,PROMISSÃO,84.7
Jan-10,PROMISSÃO,87.15
Feb-10,PROMISSÃO,89.85
Mar-10,PROMISSÃO,95.28
Apr-10,PROMISSÃO,97.76
May-10,PROMISSÃO,94.54
Jun-10,PROMISSÃO,97.51
Jul-10,PROMISSÃO,88.13
Aug-10,PROMISSÃO,71.38
Sep-10,PROMISSÃO,57.82
Oct-10,PROMISSÃO,44.27
Nov-10,PROMISSÃO,34.4
Dec-10,PROMISSÃO,43.12
Jan-11,PROMISSÃO,81.53
Feb-11,PROMISSÃO,96.27
Mar-11,PROMISSÃO,102.75
Apr-11,PROMISSÃO,99.5
May-11,PROMISSÃO,100.5
Jun-11,PROMISSÃO,96.27
Jul-11,PROMISSÃO,77.65
Aug-11,PROMISSÃO,65.88
Sep-11,PROMISSÃO,65.64
Oct-11,PROMISSÃO,74.02
Nov-11,PROMISSÃO,47.05
Dec-11,PROMISSÃO,33.72
Jan-12,PROMISSÃO,74.99
Feb-12,PROMISSÃO,82.51
Mar-12,PROMISSÃO,78.62
Apr-12,PROMISSÃO,92.31
May-12,PROMISSÃO,93.55
Jun-12,PROMISSÃO,97.02
Jul-12,PROMISSÃO,79.59
Aug-12,PROMISSÃO,49.61
Sep-12,PROMISSÃO,52.88
Oct-12,PROMISSÃO,42.43
Nov-12,PROMISSÃO,33.95
Dec-12,PROMISSÃO,47.75
Jan-13,PROMISSÃO,69.94
Feb-13,PROMISSÃO,84.7
Mar-13,PROMISSÃO,98.51
Apr-13,PROMISSÃO,99.5
May-13,PROMISSÃO,99
Jun-13,PROMISSÃO,99
Jul-13,PROMISSÃO,92.56
Aug-13,PROMISSÃO,75.23
Sep-13,PROMISSÃO,59.7
Oct-13,PROMISSÃO,46.59
Nov-13,PROMISSÃO,38.75
Dec-13,PROMISSÃO,39.43
Jan-14,PROMISSÃO,33.49
Feb-14,PROMISSÃO,21.09
Mar-14,PROMISSÃO,34.4
Apr-14,PROMISSÃO,32.58
May-14,PROMISSÃO,26.25
Jun-14,PROMISSÃO,26.92
Jul-14,PROMISSÃO,30.08
Aug-14,PROMISSÃO,30.54
Sep-14,PROMISSÃO,30.99
Oct-14,PROMISSÃO,27.82
Nov-14,PROMISSÃO,27.6
Dec-14,PROMISSÃO,35.77
Jan-15,PROMISSÃO,36.68
Feb-15,PROMISSÃO,49.61
Mar-15,PROMISSÃO,83.24
Apr-15,PROMISSÃO,94.04
May-15,PROMISSÃO,99.75
Jun-15,PROMISSÃO,97.26
Jul-15,PROMISSÃO,91.33
Aug-15,PROMISSÃO,80.07
Sep-15,PROMISSÃO,69.46
Oct-15,PROMISSÃO,57.11
Nov-15,PROMISSÃO,62.78
Dec-15,PROMISSÃO,93.05
Jan-16,PROMISSÃO,96.52
Feb-16,PROMISSÃO,96.52
Mar-16,PROMISSÃO,98.76
Apr-16,PROMISSÃO,95.03
May-16,PROMISSÃO,97.51
Jun-16,PROMISSÃO,92.81
Jul-16,PROMISSÃO,80.32
Aug-16,PROMISSÃO,67.55
Sep-16,PROMISSÃO,53.59
Oct-16,PROMISSÃO,41.04
Nov-16,PROMISSÃO,41.04
Dec-16,PROMISSÃO,37.14
Jan-17,PROMISSÃO,76.68
Feb-17,PROMISSÃO,82.02
Mar-17,PROMISSÃO,88.62
Apr-17,PROMISSÃO,94.04
May-17,PROMISSÃO,97.76
Jun-17,PROMISSÃO,97.26
Jul-17,PROMISSÃO,85.68
Aug-17,PROMISSÃO,66.83
Sep-17,PROMISSÃO,41.96
Oct-17,PROMISSÃO,31.22
Nov-17,PROMISSÃO,41.27
Dec-17,PROMISSÃO,38.06
Jan-18,PROMISSÃO,70.66
Feb-18,PROMISSÃO,74.99
Mar-18,PROMISSÃO,82.75
Apr-18,PROMISSÃO,84.95
May-18,PROMISSÃO,74.02
Jun-18,PROMISSÃO,62.55
Jul-18,PROMISSÃO,52.65
Aug-18,PROMISSÃO,39.89
Sep-18,PROMISSÃO,38.06
Oct-18,PROMISSÃO,43.81
Nov-18,PROMISSÃO,40.58
Dec-18,PROMISSÃO,38.29
Jan-19,PROMISSÃO,32.35
Feb-19,PROMISSÃO,56.87
Mar-19,PROMISSÃO,88.13
Apr-19,PROMISSÃO,89.11
May-19,PROMISSÃO,96.97
Jun-19,PROMISSÃO,96.67
Jul-19,PROMISSÃO,90.39
Aug-19,PROMISSÃO,80.85
Sep-19,PROMISSÃO,56.64
Oct-19,PROMISSÃO,33.26
Nov-19,PROMISSÃO,35.63
Dec-19,PROMISSÃO,43.4
Jan-20,PROMISSÃO,37.14
Feb-20,PROMISSÃO,82.65
Mar-20,PROMISSÃO,89.26
Apr-20,PROMISSÃO,77.74
May-20,PROMISSÃO,63.16
Jun-20,PROMISSÃO,58.05
Jul-20,PROMISSÃO,49.56999969
Aug-20,PROMISSÃO,44.31999969
Sep-20,PROMISSÃO,35.45000076
Oct-20,PROMISSÃO,30.95000076
Nov-20,PROMISSÃO,39.84999847
Dec-20,PROMISSÃO,42.38000107
Jan-21,PROMISSÃO,46.13000107
Feb-21,PROMISSÃO,49.29000092
Mar-21,PROMISSÃO,54.95000076
Apr-21,PROMISSÃO,60.36999893
May-21,PROMISSÃO,48.02999878
Jun-21,PROMISSÃO,49.61000061
Jul-21,PROMISSÃO,48.45000076
Feb-02,PORTO ESTRELA,0
Mar-02,PORTO ESTRELA,9
Apr-02,PORTO ESTRELA,0
May-02,PORTO ESTRELA,0
Jun-02,PORTO ESTRELA,0
Jul-02,PORTO ESTRELA,0
Aug-02,PORTO ESTRELA,0
Sep-02,PORTO ESTRELA,0
Oct-02,PORTO ESTRELA,0
Nov-02,PORTO ESTRELA,13.29
Dec-02,PORTO ESTRELA,100
Jan-03,PORTO ESTRELA,100
Feb-03,PORTO ESTRELA,42.02
Mar-03,PORTO ESTRELA,83.85
Apr-03,PORTO ESTRELA,16.01
May-03,PORTO ESTRELA,37.95
Jun-03,PORTO ESTRELA,75.66
Jul-03,PORTO ESTRELA,92.79
Aug-03,PORTO ESTRELA,86.84
Sep-03,PORTO ESTRELA,87.79
Oct-03,PORTO ESTRELA,68.1
Nov-03,PORTO ESTRELA,78.26
Dec-03,PORTO ESTRELA,68.03
Jan-04,PORTO ESTRELA,71.61
Feb-04,PORTO ESTRELA,100
Mar-04,PORTO ESTRELA,79.52
Apr-04,PORTO ESTRELA,93.2
May-04,PORTO ESTRELA,94.48
Jun-04,PORTO ESTRELA,100
Jul-04,PORTO ESTRELA,100
Aug-04,PORTO ESTRELA,23.76
