,year_month,accumulate_riogrande,accumulate_pardo,accumulate_vermelha,accumulate_caconde,accumulate_furnas,accumulate_marimbondo,accumulate_mascarenha,accumulate_camargos,Grande_total
72,200606,5.76,13.59,9.01,13.02,10.54,11.38,7.31,10.85,81.46
73,200607,1.59,4.42,0.53,10.96,8.38,3.89,5.17,6.95,41.89000000000001
74,200608,19.77,15.71,15.33,15.5,18.7,21.12,16.79,17.07,139.99
75,200609,41.32,49.58,51.04,53.73,69.05,49.71,58.32,79.72,452.4699999999999
76,200610,120.55,181.75,131.26,171.79,120.98,204.58,140.08,112.51,1183.5
77,200611,120.67,197.8,125.64,214.91,197.92,176.85,169.26,187.09,1390.1399999999999
78,200612,296.39,304.33,195.77,261.74,207.69,290.1,286.62,170.98,2013.62
79,200701,551.53,462.98,450.13,417.04,436.44,407.43,329.19,360.14,3414.8799999999997
80,200702,145.53,151.15,156.88,117.72,96.42,153.83,146.26,82.74,1050.53
81,200703,194.49,130.75,108.46,74.29,75.24,120.77,53.52,94.65,852.17
82,200704,38.3,52.27,29.86,57.42,62.68,53.36,82.35,61.36,437.6
83,200705,86.47,69.5,60.01,42.51,40.32,52.07,22.34,26.28,399.5
84,200706,2.02,3.13,0.67,8.87,7.9,3.3,1.69,3.62,31.200000000000003
85,200707,39.15,69.4,55.29,76.84,42.73,72.11,23.91,15.29,394.7200000000001
86,200708,0.12,0.07,0.13,0.25,0.26,0.63,2.55,0.11,4.12
87,200709,4.39,4.15,5.61,8.23,10.99,8.89,4.56,13.53,60.35
88,200710,51.68,56.48,52.02,66.93,86.52,62.39,35.83,67.77,479.61999999999995
89,200711,88.7,134.89,107.48,175.98,158.72,147.63,136.05,124.57,1074.02
90,200712,165.85,137.28,127.33,139.91,188.09,168.42,191.15,145.88,1263.9099999999999
91,200801,413.13,301.77,330.5,262.35,223.85,286.72,317.55,218.67,2354.54
92,200802,235.93,207.56,238.54,122.8,209.86,210.21,167.49,223.25,1615.6399999999999
93,200803,136.04,211.92,169.99,233.92,218.92,183.69,167.14,215.59,1537.2099999999998
94,200804,92.73,136.49,98.33,184.12,135.03,133.42,113.23,100.82,994.1700000000001
95,200805,33.68,37.19,31.67,35.46,18.7,32.59,14.84,12.83,216.96
96,200806,1.22,10.22,1.58,18.09,19.74,11.89,13.59,15.89,92.22
97,200807,0.0,2.19,0.18,0.73,1.07,1.8,0.88,1.65,8.5
98,200808,12.49,14.75,11.73,40.39,27.08,19.36,11.34,29.68,166.82
99,200809,7.15,32.31,8.71,60.82,66.62,27.38,64.26,72.14,339.39
100,200810,78.53,81.95,82.06,153.11,95.41,68.9,62.68,111.76,734.4
101,200811,99.13,144.56,65.97,141.8,177.89,95.1,175.2,142.95,1042.6
102,200812,146.99,224.36,193.4,160.84,242.44,241.36,265.8,279.57,1754.7599999999998
103,200901,390.83,258.31,251.58,284.49,279.4,308.57,270.1,223.63,2266.9100000000003
104,200902,223.4,256.13,240.48,320.22,245.81,216.1,261.5,182.0,1945.6399999999999
105,200903,227.45,119.44,227.36,101.24,141.75,178.71,168.92,130.28,1295.15
106,200904,21.02,73.4,57.28,78.92,104.19,71.09,96.26,61.27,563.43
107,200905,45.28,56.57,44.59,79.4,46.59,48.94,40.9,16.98,379.25
108,200906,34.76,37.89,41.72,58.1,32.75,51.35,21.27,19.14,296.97999999999996
109,200907,15.46,24.32,21.09,30.33,28.32,32.87,9.49,30.42,192.3
110,200908,22.56,74.22,55.41,88.81,41.27,61.06,26.55,23.34,393.21999999999997
111,200909,217.84,119.81,142.96,143.64,113.57,122.08,101.75,129.4,1091.05
112,200910,74.78,151.58,97.1,253.64,165.52,121.78,166.43,195.39,1226.2199999999998
113,200911,142.53,167.37,160.83,167.2,127.73,148.34,115.69,175.76,1205.45
114,200912,339.79,269.33,297.44,353.29,310.72,269.55,318.57,337.23,2495.92
115,201001,258.37,204.99,255.96,194.93,193.47,239.39,173.28,239.92,1760.3100000000002
116,201002,141.32,78.36,99.05,148.49,103.41,105.19,90.49,97.1,863.41
117,201003,235.27,92.69,126.64,140.18,171.97,131.2,159.6,232.71,1290.26
118,201004,49.22,27.1,48.28,38.55,45.98,38.94,46.55,67.67,362.28999999999996
119,201005,17.24,13.72,10.64,18.11,28.47,14.05,30.82,23.35,156.4
120,201006,5.76,11.43,11.88,13.44,10.46,12.43,8.74,7.73,81.87
121,201007,1.28,16.69,2.59,11.39,21.73,11.65,3.51,30.87,99.71000000000002
122,201008,0.83,0.35,0.08,0.13,0.58,0.75,1.01,1.69,5.42
123,201009,62.31,68.18,73.32,70.92,63.88,61.15,46.83,66.41,513.0
124,201010,94.77,81.04,131.37,82.47,116.03,79.19,123.15,132.86,840.8799999999999
125,201011,115.84,168.38,79.87,152.66,201.78,150.07,249.34,283.61,1401.5499999999997
126,201012,115.58,286.32,117.45,330.96,279.95,193.93,226.14,375.34,1925.6699999999998
127,201101,326.08,277.06,338.29,261.88,363.16,264.01,239.87,388.36,2458.71
128,201102,299.42,143.56,207.82,66.76,91.46,121.66,112.2,79.06,1121.9399999999998
129,201103,508.52,219.57,469.62,141.26,255.67,282.46,327.82,194.95,2399.87
130,201104,62.4,96.27,89.18,85.43,72.27,127.76,54.12,55.02,642.4499999999999
131,201105,16.77,10.47,9.09,17.91,12.23,7.34,2.27,12.7,88.78
132,201106,39.53,32.14,30.19,20.91,23.69,33.18,10.16,32.3,222.10000000000002
133,201107,0.37,0.26,0.23,0.02,0.77,0.27,0.42,1.41,3.75
134,201108,16.23,20.93,16.27,8.79,8.79,14.0,9.2,7.53,101.74
135,201109,9.51,8.9,7.98,15.1,4.94,9.64,2.76,2.69,61.519999999999996
136,201110,122.88,152.69,125.57,142.68,119.74,174.35,208.82,97.98,1144.71
137,201111,139.81,170.98,129.14,104.84,135.78,141.07,106.97,134.03,1062.62
138,201112,141.73,182.19,175.72,169.72,249.02,193.99,154.25,325.48,1592.1
139,201201,351.36,347.88,353.75,300.7,312.23,332.06,241.31,273.45,2512.74
140,201202,61.08,67.16,93.23,97.2,86.67,99.19,43.61,119.29,667.43
141,201203,83.76,111.56,100.29,139.41,119.31,90.97,108.12,171.24,924.66
142,201204,84.09,50.86,94.18,64.44,62.87,81.87,56.12,35.16,529.59
143,201205,54.96,86.63,46.88,89.2,55.26,57.27,33.94,45.81,469.95
144,201206,129.06,101.73,111.88,85.86,94.96,105.32,90.32,58.19,777.3199999999999
145,201207,5.52,32.01,15.12,33.83,22.51,28.63,17.6,12.68,167.9
146,201208,0.02,0.02,0.0,4.08,5.36,0.4,0.0,1.99,11.870000000000001
147,201209,87.36,43.04,78.26,27.66,39.35,51.31,64.27,15.27,406.52
148,201210,56.98,98.76,37.36,53.72,55.65,72.29,54.16,36.02,464.94000000000005
149,201211,170.36,144.78,169.69,137.62,159.54,160.81,198.5,157.59,1298.8899999999999
150,201212,225.7,174.66,271.03,212.59,192.07,182.01,149.51,172.73,1580.3
151,201301,194.04,331.78,228.08,293.56,288.94,269.12,284.74,264.68,2154.94
152,201302,157.58,207.54,196.59,192.85,142.15,172.87,153.48,79.29,1302.35
153,201303,206.91,184.95,195.52,280.81,175.57,205.12,167.02,112.97,1528.8700000000001
154,201304,56.26,75.64,88.99,88.48,61.27,99.53,72.48,41.24,583.89
155,201305,23.16,88.57,77.95,88.28,57.83,98.49,55.06,32.41,521.75
156,201306,114.09,34.7,55.84,32.86,29.07,40.91,20.23,22.39,350.09000000000003
157,201307,16.47,31.56,32.82,48.7,39.79,25.63,17.26,33.5,245.73
