,year_month,accumulate_riopaco,accumulate_marias,accumulate_sobradinho,accumulate_xingo,SaoFrancisco_total
227,201905,38.0,44.79,25.91,22.12,130.82
228,201906,92.04,8.11,1.78,26.97,128.9
229,201907,162.78,0.61,2.34,42.7,208.43
230,201908,69.5,3.32,3.59,17.2,93.61
231,201909,19.38,38.59,5.86,4.15,67.98
232,201910,4.76,53.27,41.52,10.94,110.49000000000001
233,201911,1.36,162.19,86.75,27.2,277.5
234,201912,5.12,212.13,92.49,4.89,314.63
235,202001,46.73,316.41,264.59,90.88,718.61
236,202002,45.74,274.42,131.5,115.73,567.39
237,202003,191.45,128.28,244.65,173.88,738.26
238,202004,101.94,55.82,92.0,88.5,338.26
239,202005,120.54,37.11,27.39,41.86,226.90000000000003
240,202006,127.56,1.87,3.73,30.07,163.23
241,202007,56.26,3.43,2.71,17.63,80.03
242,202008,41.95,10.84,2.43,9.53,64.75
243,202009,22.1,15.51,3.23,11.06,51.9
244,202010,14.5,128.87,65.97,10.43,219.77
245,202011,42.86,138.09,129.4,89.58,399.93
246,202012,7.85,218.16,92.23,12.04,330.28000000000003
