Date,Max_Demand
12/21/99,31483
12/22/99,31468
12/23/99,30017
12/24/99,28556
12/25/99,25691
12/26/99,27803
12/27/99,30444
12/28/99,30609
12/29/99,30405
12/30/99,29986
12/31/99,28717
1/1/00,25253
1/2/00,26388
1/3/00,29633
1/4/00,30230
1/5/00,30661
1/6/00,31290
1/7/00,30742
1/8/00,30555
1/9/00,28498
1/10/00,31625
1/11/00,31716
1/12/00,31593
1/13/00,31833
1/14/00,31384
1/15/00,30506
1/16/00,28573
1/17/00,31783
1/18/00,31806
1/19/00,31034
1/20/00,30672
1/21/00,31495
1/22/00,30143
1/23/00,28208
1/24/00,31152
1/25/00,30843
1/26/00,30500
1/27/00,30742
1/28/00,30523
1/29/00,29330
1/30/00,27798
1/31/00,31115
2/1/00,31165
2/2/00,31543
2/3/00,31976
2/4/00,31556
2/5/00,30092
2/6/00,27978
2/7/00,31116
2/8/00,31142
2/9/00,31233
2/10/00,31761
2/11/00,31578
2/12/00,30807
2/13/00,28922
2/14/00,32320
2/15/00,32492
2/16/00,31628
2/17/00,30333
2/18/00,30616
2/19/00,30310
2/20/00,28048
2/21/00,31742
2/22/00,31948
2/23/00,31937
2/24/00,32068
2/25/00,31920
2/26/00,31208
2/27/00,29409
2/28/00,33318
2/29/00,33700
3/1/00,33575
3/2/00,33521
3/3/00,33178
3/4/00,31101
3/5/00,28328.8
3/6/00,30095.6
3/7/00,28816.5
3/8/00,31636
3/9/00,33059
3/10/00,32974
3/11/00,31194
3/12/00,29225
3/13/00,32493
3/14/00,33245
3/15/00,33311
3/16/00,33922
3/17/00,33656
3/18/00,32011
3/19/00,29537
3/20/00,33277
3/21/00,33748
3/22/00,33681
3/23/00,34090
3/24/00,34013
3/25/00,32444
3/26/00,29740
3/27/00,34348
3/28/00,34322
3/29/00,34064
3/30/00,34195
3/31/00,34332
4/1/00,32718
4/2/00,29244
4/3/00,33839
4/4/00,33915
4/5/00,33829
4/6/00,34407
4/7/00,34540
4/8/00,33017
4/9/00,30468
4/10/00,34536
4/11/00,34848
4/12/00,34927
4/13/00,35415
4/14/00,34821
4/15/00,33210
4/16/00,30464
4/17/00,34686
4/18/00,35411
4/19/00,35021.9
4/20/00,33436
4/21/00,28489
4/22/00,31556
4/23/00,29445
4/24/00,34389
4/25/00,35000
4/26/00,35120
4/27/00,35659
4/28/00,35191
4/29/00,33473
4/30/00,30448
5/1/00,30024
5/2/00,35178
5/3/00,35475
5/4/00,35602
5/5/00,35191
5/6/00,33073
5/7/00,30300
5/8/00,34572
5/9/00,34565
5/10/00,34646
5/11/00,34163
5/12/00,34248
5/13/00,32966
5/14/00,29459
5/15/00,34629
5/16/00,35228
5/17/00,35319
5/18/00,34790
5/19/00,34191
5/20/00,33159
5/21/00,29782
5/22/00,34387
5/23/00,34836
5/24/00,34893
5/25/00,34772
5/26/00,34868
5/27/00,33430
5/28/00,30001
5/29/00,34090
5/30/00,34662
5/31/00,34866
6/1/00,34059
6/2/00,34132
6/3/00,33217
6/4/00,30236
6/5/00,34395
6/6/00,34810
6/7/00,35091
6/8/00,34983
6/9/00,35028
6/10/00,33796
6/11/00,31222
6/12/00,34623
6/13/00,35457
6/14/00,35258
6/15/00,35388
6/16/00,35100
6/17/00,33644
6/18/00,30199
6/19/00,35029
6/20/00,35351
6/21/00,34040
6/22/00,30167
6/23/00,33540
6/24/00,32960
6/25/00,30686
6/26/00,34762
6/27/00,35429
6/28/00,35392
6/29/00,35436
6/30/00,35133
7/1/00,34160
7/2/00,30926
7/3/00,34491
7/4/00,34423
7/5/00,34957
7/6/00,35193
7/7/00,34898
7/8/00,33722
7/9/00,30761
7/10/00,35123
7/11/00,35503
7/12/00,34728
7/13/00,34376
7/14/00,33903
7/15/00,32581
7/16/00,28881
7/17/00,33339
7/18/00,33697
7/19/00,33825
7/20/00,34374
7/21/00,34538
7/22/00,34464
7/23/00,28986
7/24/00,33748
7/25/00,34399
7/26/00,34154
7/27/00,34569
7/28/00,34262
7/29/00,33210
7/30/00,30610
7/31/00,34481
8/1/00,34770
8/2/00,34772
8/3/00,34856
8/4/00,33686
8/5/00,32882
8/6/00,30567
8/7/00,34403
8/8/00,34885
8/9/00,34862
8/10/00,34515
8/11/00,33668
8/12/00,31879
8/13/00,29626
8/14/00,34492
8/15/00,34137
8/16/00,33885
8/17/00,34262
8/18/00,33888
8/19/00,33418
8/20/00,30838
8/21/00,34500
8/22/00,35358.2
8/23/00,35237.5
8/24/00,35625.3
8/25/00,35689.9
8/26/00,34669.6
8/27/00,31219.8
8/28/00,33669.2
8/29/00,33951.6
8/30/00,34563
8/31/00,34421.1
9/1/00,34100.1
9/2/00,32146.6
9/3/00,28894.7
9/4/00,33207.5
9/5/00,34119
9/6/00,33454
9/7/00,30545.7
9/8/00,32765.6
9/9/00,32124.7
9/10/00,30862.9
9/11/00,35256
9/12/00,35005.2
9/13/00,34568.5
9/14/00,35188.4
9/15/00,35300.7
9/16/00,31956.5
9/17/00,30127.7
