date,date,year,month,Grande_mean,Paraiba_do_sul_mean,Parana_mean,Paranaiba_mean,Paranapanema_mean,SaoFrancisco_mean,Tiete_mean,Tocantins_mean
2002-09-01,2002-09-01,2002,9,70.78375,108.59500000000001,86.33500000000001,63.66555555555556,114.852,32.5175,99.045,48.91
2002-10-01,2002-10-01,2002,10,60.9975,94.56833333333333,69.25,41.81888888888889,83.13799999999999,16.752499999999998,42.395,57.366
2002-11-01,2002-11-01,2002,11,181.79625,206.4083333333333,159.905,121.93555555555557,201.98199999999997,70.55250000000001,170.945,115.304
2002-12-01,2002-12-01,2002,12,208.21375,221.335,130.29000000000002,212.29999999999998,142.06799999999998,153.395,131.045,214.38000000000002
2003-01-01,2003-01-01,2003,1,423.16,324.2966666666667,325.22,303.55444444444447,278.082,159.39000000000001,344.635,214.064
2003-02-01,2003-02-01,2003,2,120.86,71.26666666666667,157.91,173.9488888888889,176.848,57.824999999999996,118.22999999999999,226.71999999999997
2003-03-01,2003-03-01,2003,3,172.87,153.03,148.565,236.79888888888888,120.7,111.82750000000001,152.5,251.348
2003-04-01,2003-04-01,2003,4,96.64499999999998,47.95666666666667,116.465,85.54777777777778,112.05,37.74,100.72999999999999,155.86
2003-05-01,2003-05-01,2003,5,49.89250000000001,27.900000000000002,47.605000000000004,28.154444444444444,42.25,38.8775,43.775,68.386
2003-06-01,2003-06-01,2003,6,11.307500000000001,9.331666666666665,37.21,5.193333333333333,58.124,18.445,13.685,38.794
2003-07-01,2003-07-01,2003,7,11.0425,26.176666666666666,22.955,1.758888888888889,79.14,22.8825,12.870000000000001,10.71
2003-08-01,2003-08-01,2003,8,20.957499999999996,33.37833333333333,35.715,16.415555555555553,39.79,17.1325,23.58,29.236
2003-09-01,2003-09-01,2003,9,23.883749999999996,31.826666666666668,61.655,40.06555555555556,85.418,18.7425,23.814999999999998,37.432
2003-10-01,2003-10-01,2003,10,78.4125,159.13833333333332,125.57,84.71888888888887,111.01000000000002,27.249999999999996,116.68,80.71000000000001
2003-11-01,2003-11-01,2003,11,150.20749999999998,146.53666666666666,133.755,169.7744444444444,146.05,81.64750000000001,133.51,138.55800000000002
2003-12-01,2003-12-01,2003,12,202.95499999999998,152.97333333333333,159.845,171.99444444444447,165.926,80.735,154.59,148.91199999999998
2004-01-01,2004-01-01,2004,1,256.08624999999995,203.54,192.30499999999998,350.74,210.314,305.9625,260.03999999999996,329.156
2004-02-01,2004-02-01,2004,2,296.42749999999995,270.21,130.5,308.60555555555555,107.41799999999998,175.3675,173.425,351.456
2004-03-01,2004-03-01,2004,3,105.5375,116.96666666666668,82.83500000000001,176.91555555555556,115.09,98.9675,82.03999999999999,248.706
2004-04-01,2004-04-01,2004,4,122.64625,153.76500000000001,94.435,138.62444444444446,109.124,58.7425,78.15,174.412
2004-05-01,2004-05-01,2004,5,90.8825,82.50999999999999,164.095,29.666666666666668,194.536,38.92,121.225,77.43800000000002
2004-06-01,2004-06-01,2004,6,49.33125,66.29666666666667,68.155,5.966666666666667,84.56,49.66250000000001,48.614999999999995,27.647999999999996
2004-07-01,2004-07-01,2004,7,39.86000000000001,76.35166666666667,55.15,14.074444444444445,102.63400000000001,33.275,52.44,33.754000000000005
2004-08-01,2004-08-01,2004,8,1.6424999999999998,5.574999999999999,3.9800000000000004,0.7455555555555554,2.8560000000000003,22.720000000000002,0.595,23.242000000000004
2004-09-01,2004-09-01,2004,9,12.92875,26.175,20.975,3.764444444444444,38.08,18.665000000000003,9.614999999999998,32.291999999999994
2004-10-01,2004-10-01,2004,10,171.215,136.85500000000002,190.41500000000002,98.97777777777777,208.224,35.1,156.32999999999998,117.98599999999999
2004-11-01,2004-11-01,2004,11,162.50875,180.44666666666663,189.91,123.58333333333333,143.33800000000002,62.14,167.575,103.418
2004-12-01,2004-12-01,2004,12,276.76625,176.22666666666666,192.785,206.28333333333333,129.1,107.4475,168.10500000000002,137.864
2005-01-01,2005-01-01,2005,1,387.97875,279.14166666666665,341.32,257.3255555555555,313.07000000000005,149.24,321.37,211.744
2005-02-01,2005-02-01,2005,2,70.39375000000001,76.45166666666667,43.370000000000005,102.26333333333332,31.413999999999998,91.54750000000001,50.64,161.28999999999996
2005-03-01,2005-03-01,2005,3,164.96249999999998,91.62833333333333,74.06,169.48,62.80800000000001,149.28500000000003,93.235,188.39599999999996
2005-04-01,2005-04-01,2005,4,42.78125,88.22333333333331,70.895,65.63,62.886,44.2375,73.12,157.724
2005-05-01,2005-05-01,2005,5,107.7325,93.02833333333335,89.14,39.20444444444445,107.25399999999999,94.54749999999999,89.8,101.58400000000002
