Year,Month,Max_temperature,Min_temperature,Rainfall_mm
2005,1,31.4,21.8,220.2
2005,2,31.3,21.6,224.3
2005,3,31,21.4,262.7
2005,4,30.8,21.2,184.9
2005,5,30.3,20,153.7
2005,6,30.2,18.9,75.2
2005,7,29.9,17.7,52
2005,8,31.8,19.1,54.5
2005,9,31.3,19.3,74.8
2005,10,32.5,21.1,117.1
2005,11,31.8,21.3,143.1
2005,12,30.9,21,229.3
2006,1,31.4,21.8,212
2006,2,31.1,21.4,227.2
2006,3,30.9,21.3,256.4
2006,4,30.3,20.5,208.2
2006,5,29.3,18.9,146.2
2006,6,29.6,18.3,79.6
2006,7,30.5,18.2,61.5
2006,8,31.4,18.7,49.9
2006,9,31.6,19.5,75.2
2006,10,32.2,21,128.5
2006,11,31.3,20.9,173.8
2006,12,31.4,21.5,204.7
2007,1,31.3,21.8,212.4
2007,2,31,21.4,238.9
2007,3,31,21.5,214.7
2007,4,30.8,21.1,184.5
2007,5,29.6,19.2,126.8
2007,6,30,18.6,69.8
2007,7,29.9,17.7,68.5
2007,8,30.9,18.3,54.1
2007,9,32.3,20.4,55.3
2007,10,32.3,21.1,113.6
2007,11,31.6,21.1,158.9
2007,12,31.1,21.2,208.3
2008,1,30.4,20.9,255.3
2008,2,30.6,21,230.9
2008,3,30.4,20.9,264.4
2008,4,30.3,20.4,200.5
2008,5,29.3,19,135.4
2008,6,29.1,17.7,78.5
2008,7,30.3,18.1,58.6
2008,8,31.6,18.9,56.1
2008,9,31.5,19.6,75.5
2008,10,32.4,21.2,116.7
2008,11,31.6,21.2,157.2
2008,12,31,21,222.8
2009,1,30.7,21.1,238.8
2009,2,30.7,21.1,232.2
2009,3,30.8,21.3,249
2009,4,30.5,20.6,203.2
2009,5,29.9,19.6,145.6
2009,6,29.1,17.8,95.1
2009,7,30,17.9,74.5
2009,8,31.3,18.7,59.6
2009,9,32,20.2,81.1
2009,10,32.1,20.8,149.4
2009,11,32.2,21.9,146.5
2009,12,31,21.3,222.1
2010,1,31.3,21.7,238.7
2010,2,31.8,22.3,208.8
2010,3,31.4,21.9,234.4
2010,4,30.7,21,200.6
2010,5,30,19.8,132.2
2010,6,29.4,18.1,75.7
2010,7,30.2,18.1,67.5
2010,8,31,18.4,44.6
2010,9,32.4,20.6,64.9
2010,10,32.2,20.8,117.4
2010,11,31.4,20.9,159.9
2010,12,31.2,21.3,210.5
2011,1,30.8,21.2,241.7
2011,2,30.6,21.1,244.4
2011,3,30.4,21,263.5
2011,4,30.5,20.8,198.4
2011,5,29.8,19.6,139
2011,6,29.7,18.5,73.8
2011,7,30.3,18.2,63.8
2011,8,31.3,18.7,55.5
2011,9,32,20,59.7
2011,10,31.7,20.6,136
2011,11,31.1,20.8,164.7
2011,12,31,21.2,189
2012,1,30.6,20.9,236.2
2012,2,30.7,21.1,228.9
2012,3,30.6,21,225.6
2012,4,30.6,20.9,171.2
2012,5,29.9,19.6,117.7
2012,6,29.8,18.6,77.7
2012,7,30,17.9,63.9
2012,8,31.4,18.8,45.8
2012,9,32.3,20.4,65.7
2012,10,32.5,21.4,98.3
2012,11,31.7,21.4,159.4
2012,12,31.4,21.7,179.2
2013,1,31.1,21.5,226.1
2013,2,31.1,21.6,220.2
2013,3,30.9,21.5,239.2
2013,4,30.4,20.7,178
2013,5,30.1,19.8,138.7
2013,6,30.2,19,88.3
2013,7,30.1,18.1,70.1
2013,8,30.7,18.2,61.1
2013,9,31.8,20.1,73.6
2013,10,32,20.8,118.5
2013,11,31.3,21,167.9
2013,12,31.3,21.4,208.9
2014,1,31.1,21.5,204.2
2014,2,30.9,21.4,222.7
2014,3,30.5,21.1,253.5
2014,4,30.6,21,191.4
2014,5,30,19.8,131.2
2014,6,30.1,18.9,81.9
2014,7,30,18,67.7
2014,8,31.5,18.9,51.5
2014,9,32.5,20.7,73
2014,10,32.5,21.3,105.8
2014,11,31.7,21.4,166.5
2014,12,31.2,21.5,191.2
2015,1,31.4,21.8,196.4
2015,2,31.1,21.5,201
2015,3,30.8,21.3,242.8
2015,4,30.8,21.1,191.6
2015,5,30.2,19.9,144.2
2015,6,30.2,19,73.5
2015,7,30.5,18.5,74.8
2015,8,32.1,19.6,48.1
2015,9,33,21.1,62.4
2015,10,32.5,21.3,97.4
2015,11,32.2,21.9,132.6
2015,12,31.8,22,156.1
2016,1,31.3,21.8,242.5
2016,2,31.3,21.7,193.6
2016,3,31.2,21.9,207.2
2016,4,31.4,21.8,157
2016,5,30.1,20,115.2
2016,6,29.5,18.2,72.3
2016,7,30.7,18.6,56.1
2016,8,31.8,19.2,53.5
2016,9,31.8,20,66.6
2016,10,32.4,21.3,124.6
2016,11,31.8,21.4,134
2016,12,31.3,21.6,185.1
2017,1,31.2,21.6,200.6
2017,2,31.1,21.6,216.1
2017,3,30.9,21.5,222
2017,4,30.6,21,171.6
2017,5,30.6,20.4,122.2
2017,6,30.3,19.1,72.5
2017,7,30.2,18,47.9
2017,8,31.5,18.9,52.9
2017,9,32.2,20.5,66
2017,10,32.3,21.2,105.8
2017,11,31.6,21.2,154.2
2017,12,31.2,21.5,194.8
2018,1,31,21.4,211.8
2018,2,30.8,21.2,230.5
2018,3,31.1,21.6,219
2018,4,30.8,21.1,196.4
2018,5,30,19.7,117.3
2018,6,29.5,18.2,67.1
2018,7,30.4,18.3,62.2
2018,8,31,18.4,56.3
2018,9,32.3,20.5,79.8
2018,10,32.2,21,127.9
2018,11,31.6,21.4,174.2
2018,12,31.1,21.4,214.8
2019,1,31.4,21.9,200.8
2019,2,31.2,21.7,206.8
2019,3,31.1,21.6,228.6
2019,4,31,21.3,183.4
2019,5,30.5,20.4,143
2019,6,30.5,19.3,76.2
2019,7,30.2,18.2,64.6
2019,8,31.3,18.7,47.2
2019,9,32.6,20.7,60.9
2019,10,32.4,21.3,112.2
2019,11,32.1,21.9,152.8
2019,12,31.5,21.8,178.6
2020,1,31.4,21.8,234.2
2020,2,31.3,21.7,209.5
2020,3,31.4,21.9,222.3
2020,4,30.7,21,181.3
2020,5,30,19.7,122.3
2020,6,30.2,19,87
2020,7,30.4,18.3,55.7
2020,8,31.8,19.2,50
2020,9,32.7,20.8,60.1
2020,10,32.8,21.6,109.5
2020,11,31.9,21.5,159.6
2020,12,31.5,21.7,179.5
