Date,Energy
1/7/17,995
1/8/17,1007
1/9/17,1199
1/10/17,1233
1/11/17,1349
1/12/17,1575
1/13/17,1715
1/14/17,1832
1/15/17,1916
1/16/17,2644
1/17/17,2588
1/18/17,2923
1/19/17,3351
1/20/17,3626
1/21/17,4082
1/22/17,4089
1/23/17,4140
1/24/17,4249
1/25/17,3920
1/26/17,3650
1/27/17,3261
1/28/17,2880
1/29/17,2501
1/30/17,2215
1/31/17,2060
2/1/17,2384
2/2/17,2419
2/3/17,2489
2/4/17,2611
2/5/17,2607
2/6/17,2576
2/7/17,2504
2/8/17,2207
2/9/17,2038
2/10/17,1845
2/11/17,1684
2/12/17,1554
2/13/17,1439
2/14/17,1349
2/15/17,1251
2/16/17,1175
2/17/17,1116
2/18/17,1046
2/19/17,997
2/20/17,955
2/21/17,929
2/22/17,938
2/23/17,922
2/24/17,1144
2/25/17,1084
2/26/17,1069
2/27/17,1129
2/28/17,1163
3/1/17,1233
3/2/17,1327
3/3/17,1474
3/4/17,1527
3/5/17,1776
3/6/17,2057
3/7/17,3031
3/8/17,2465
3/9/17,2237
3/10/17,2220
3/11/17,2087
3/12/17,1900
3/13/17,1763
3/14/17,1618
3/15/17,1491
3/16/17,1374
3/17/17,1385
3/18/17,1329
3/19/17,1321
3/20/17,1306
3/21/17,1286
3/22/17,1237
3/23/17,1187
3/24/17,1111
3/25/17,1046
3/26/17,976
3/27/17,925
3/28/17,885
3/29/17,849
3/30/17,819
3/31/17,785
4/1/17,747
4/2/17,719
4/3/17,703
4/4/17,713
4/5/17,747
4/6/17,1794
4/7/17,1862
4/8/17,1253
4/9/17,1384
4/10/17,1397
4/11/17,1405
4/12/17,1449
4/13/17,1416
4/14/17,1301
4/15/17,1137
4/16/17,1012
4/17/17,952
4/18/17,928
4/19/17,934
4/20/17,971
4/21/17,1067
4/22/17,1176
4/23/17,1192
4/24/17,1258
4/25/17,1296
4/26/17,1376
4/27/17,1387
4/28/17,1431
4/29/17,1405
4/30/17,1341
5/1/17,1272
5/2/17,1220
5/3/17,1168
5/4/17,1152
5/5/17,1294
5/6/17,1299
5/7/17,1389
5/8/17,1431
5/9/17,1428
5/10/17,1377
5/11/17,1318
5/12/17,1223
5/13/17,1105
5/14/17,1001
5/15/17,936
5/16/17,909
5/17/17,924
5/18/17,997
5/19/17,2148
5/20/17,1927
5/21/17,2985
5/22/17,3480
5/23/17,3337
5/24/17,3385
5/25/17,3212
5/26/17,2774
5/27/17,2366
5/28/17,2027
5/29/17,1728
5/30/17,1488
5/31/17,1304
6/1/17,1223
6/2/17,1183
6/3/17,1221
6/4/17,1282
6/5/17,1654
6/6/17,2069
6/7/17,1729
6/8/17,1755
6/9/17,1819
6/10/17,1881
6/11/17,1865
6/12/17,1830
6/13/17,1788
6/14/17,1637
6/15/17,1549
6/16/17,1473
6/17/17,1430
6/18/17,1385
6/19/17,1348
6/20/17,1310
6/21/17,1247
6/22/17,1198
6/23/17,1151
6/24/17,1105
6/25/17,1066
6/26/17,1028
6/27/17,1006
6/28/17,977
6/29/17,975
6/30/17,964
7/1/17,962
7/2/17,947
7/3/17,929
7/4/17,916
7/5/17,881
7/6/17,863
7/7/17,846
7/8/17,831
7/9/17,813
7/10/17,801
7/11/17,787
7/12/17,770
7/13/17,767
7/14/17,758
7/15/17,754
7/16/17,752
7/17/17,750
7/18/17,753
7/19/17,746
7/20/17,749
7/21/17,742
7/22/17,735
7/23/17,725
7/24/17,720
7/25/17,711
7/26/17,710
7/27/17,697
7/28/17,696
7/29/17,697
7/30/17,687
7/31/17,692
8/1/17,697
8/2/17,708
8/3/17,725
8/4/17,753
8/5/17,772
8/6/17,755
8/7/17,749
8/8/17,740
8/9/17,713
8/10/17,704
8/11/17,694
8/12/17,709
8/13/17,711
8/14/17,731
8/15/17,791
8/16/17,821
8/17/17,929
8/18/17,962
8/19/17,1065
8/20/17,1205
8/21/17,1256
8/22/17,1267
8/23/17,1271
8/24/17,1226
8/25/17,1153
8/26/17,1083
8/27/17,1003
8/28/17,920
8/29/17,833
8/30/17,766
8/31/17,721
9/1/17,692
9/2/17,668
9/3/17,655
9/4/17,645
9/5/17,639
9/6/17,624
9/7/17,616
9/8/17,607
9/9/17,592
9/10/17,582
9/11/17,575
9/12/17,565
9/13/17,555
9/14/17,550
9/15/17,543
9/16/17,535
9/17/17,529
9/18/17,524
9/19/17,520
9/20/17,510
9/21/17,510
9/22/17,508
9/23/17,498
9/24/17,491
9/25/17,488
9/26/17,490
9/27/17,497
9/28/17,523
9/29/17,557
9/30/17,672
10/1/17,711
10/2/17,776
10/3/17,802
10/4/17,838
10/5/17,851
10/6/17,867
10/7/17,905
10/8/17,858
10/9/17,816
10/10/17,786
10/11/17,760
10/12/17,733
10/13/17,709
10/14/17,687
10/15/17,645
10/16/17,615
10/17/17,587
10/18/17,564
10/19/17,548
10/20/17,527
10/21/17,518
10/22/17,531
10/23/17,554
10/24/17,591
10/25/17,634
10/26/17,857
10/27/17,753
10/28/17,866
10/29/17,900
10/30/17,956
10/31/17,1015
11/1/17,1043
11/2/17,1073
11/3/17,1049
11/4/17,1082
11/5/17,1156
11/6/17,1107
11/7/17,1181
11/8/17,1194
11/9/17,1200
11/10/17,1166
11/11/17,1200
11/12/17,1063
11/13/17,1047
11/14/17,1006
11/15/17,1000
11/16/17,1034
11/17/17,1136
11/18/17,1186
11/19/17,1329
11/20/17,1280
