"","date","energy_exchange"
"177",2016-06-25,-3.436723
"178",2016-06-26,16.653834
"179",2016-06-27,-19.763206
"180",2016-06-28,-23.14955
"181",2016-06-29,-22.011323
"182",2016-06-30,-23.94245
"183",2016-07-01,-20.352974
"184",2016-07-02,1.959697
"185",2016-07-03,-0.682392
"186",2016-07-04,-20.317302
"187",2016-07-05,-17.146766
"188",2016-07-06,-27.208026
"189",2016-07-07,-29.379255
"190",2016-07-08,-18.337802
"191",2016-07-09,-2.963033
"192",2016-07-10,8.115639
"193",2016-07-11,-5.71322
"194",2016-07-12,-11.11773
"195",2016-07-13,-10.796197
"196",2016-07-14,-29.69548
"197",2016-07-15,-41.078887
"198",2016-07-16,-61.644191
"199",2016-07-17,-41.873305
"200",2016-07-18,-62.846672
"201",2016-07-19,-68.627725
"202",2016-07-20,-57.553041
"203",2016-07-21,-50.739491
"204",2016-07-22,-51.380694
"205",2016-07-23,-56.11179
"206",2016-07-24,-14.058205
"207",2016-07-25,-57.41936
"208",2016-07-26,-65.268695
"209",2016-07-27,-56.328434
"210",2016-07-28,-37.882191
"211",2016-07-29,-37.790105
"212",2016-07-30,-57.466566
"213",2016-07-31,-8.770744
"214",2016-08-01,-23.968479
"215",2016-08-02,-13.298563
"216",2016-08-03,-23.072379
"217",2016-08-04,-27.327784
"218",2016-08-05,10.369682
"219",2016-08-06,-9.514463
"220",2016-08-07,-12.678881
"221",2016-08-08,-36.25755
"222",2016-08-09,-42.428033
"223",2016-08-10,-36.240287
"224",2016-08-11,-20.349989
"225",2016-08-12,-31.284906
"226",2016-08-13,-1.494839
"227",2016-08-14,4.428465
"228",2016-08-15,-28.046601
"229",2016-08-16,-40.240506
"230",2016-08-17,-35.026045
"231",2016-08-18,-37.279614
"232",2016-08-19,-62.6523
"233",2016-08-20,-70.101095
"234",2016-08-21,-36.196619
"235",2016-08-22,-62.145018
"236",2016-08-23,-73.862148
"237",2016-08-24,-78.835904
"238",2016-08-25,-72.730039
"239",2016-08-26,-74.238157
"240",2016-08-27,-77.350656
"241",2016-08-28,-69.446164
"242",2016-08-29,-73.388753
"243",2016-08-30,-72.019747
"244",2016-08-31,-69.795919
"245",2016-09-01,-74.654824
"246",2016-09-02,-65.160916
"247",2016-09-03,-68.94345
"248",2016-09-04,-37.211168
"249",2016-09-05,-61.268013
"250",2016-09-06,-78.846953
"251",2016-09-07,-32.848342
"252",2016-09-08,-52.352463
"253",2016-09-09,-54.426195
"254",2016-09-10,-63.481962
"255",2016-09-11,-45.492287
"256",2016-09-12,-53.115447
"257",2016-09-13,-72.936501
"258",2016-09-14,-68.898749
"259",2016-09-15,-60.59217
"260",2016-09-16,-56.428803
"261",2016-09-17,-59.197683
"262",2016-09-18,-18.069078
"263",2016-09-19,-36.477739
"264",2016-09-20,-69.165292
"265",2016-09-21,-62.417553
"266",2016-09-22,-63.018661
"267",2016-09-23,-64.069002
"268",2016-09-24,-65.723127
"269",2016-09-25,-19.318307
"270",2016-09-26,-48.696777
"271",2016-09-27,-53.990472
"272",2016-09-28,-44.112223
"273",2016-09-29,-33.079
"274",2016-09-30,-50.973476
"275",2016-10-01,-43.085512
"276",2016-10-02,33.419866
"277",2016-10-03,-29.110918
"278",2016-10-04,-34.604589
"279",2016-10-05,-39.602511
"280",2016-10-06,-40.327351
"281",2016-10-07,-32.437671
"282",2016-10-08,-42.352585
"283",2016-10-09,0.446235
"284",2016-10-10,-35.590305
"285",2016-10-11,-51.375784
"286",2016-10-12,23.074831
"287",2016-10-13,-58.721198
"288",2016-10-14,-70.4485
"289",2016-10-15,-69.98174
"290",2016-10-16,-4.73943026
"291",2016-10-17,-44.25419
"292",2016-10-18,-59.095934
"293",2016-10-19,-76.24089
"294",2016-10-20,-60.523596
"295",2016-10-21,-74.277787
"296",2016-10-22,-78.167347
"297",2016-10-23,-35.431993
"298",2016-10-24,-63.49965
"299",2016-10-25,-71.292208
"300",2016-10-26,-70.141224
"301",2016-10-27,-69.555001
"302",2016-10-28,-65.003384
"303",2016-10-29,-59.747924
"304",2016-10-30,11.321396
"305",2016-10-31,-31.664739
"306",2016-11-01,-39.739798
"307",2016-11-02,-50.519137
"308",2016-11-03,-54.483684
"309",2016-11-04,-48.560784
"310",2016-11-05,-59.627856
"311",2016-11-06,-9.736533
"312",2016-11-07,-30.935182
"313",2016-11-08,-28.848237
"314",2016-11-09,-27.742332
"315",2016-11-10,-34.42673
"316",2016-11-11,-59.029761
"317",2016-11-12,-32.748622
"318",2016-11-13,13.84144
"319",2016-11-14,-36.717756
"320",2016-11-15,-0.538216
"321",2016-11-16,-26.3453
"322",2016-11-17,-30.755979
"323",2016-11-18,-49.604213
"324",2016-11-19,-20.729137
"325",2016-11-20,31.155829
"326",2016-11-21,1.40496
"327",2016-11-22,-14.646911
"328",2016-11-23,-7.383853
"329",2016-11-24,4.174933
"330",2016-11-25,3.739472
"331",2016-11-26,30.760278
"332",2016-11-27,15.653986
"333",2016-11-28,15.433375
"334",2016-11-29,1.746563
"335",2016-11-30,16.964231
"336",2016-12-01,14.618551
"337",2016-12-02,21.864731
"338",2016-12-03,0.310142
